sep=;
"Version";"4";;;
"Language";"en-US";;;
"Local export date";"29.12.2024 10:12:11";;;
"Export UTC date";"2024-12-29T09:12:11.243Z";;;
"Time zone";"Europe/Berlin";;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;
"Time period";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"07/26/2024 12.15 AM";"32";"32";"-";"-"
"07/26/2024 12.30 AM";"30";"30";"-";"-"
"07/26/2024 12.45 AM";"110";"110";"-";"-"
"07/26/2024 01.00 AM";"112";"112";"-";"-"
"07/26/2024 01.15 AM";"31";"31";"-";"-"
"07/26/2024 01.30 AM";"32";"32";"-";"-"
"07/26/2024 01.45 AM";"109";"109";"-";"-"
"07/26/2024 02.00 AM";"109";"109";"-";"-"
"07/26/2024 02.15 AM";"31";"31";"-";"-"
"07/26/2024 02.30 AM";"34";"34";"-";"-"
"07/26/2024 02.45 AM";"110";"110";"-";"-"
"07/26/2024 03.00 AM";"108";"108";"-";"-"
"07/26/2024 03.15 AM";"31";"31";"-";"-"
"07/26/2024 03.30 AM";"36";"36";"-";"-"
"07/26/2024 03.45 AM";"110";"110";"-";"-"
"07/26/2024 04.00 AM";"106";"106";"-";"-"
"07/26/2024 04.15 AM";"31";"31";"-";"-"
"07/26/2024 04.30 AM";"37";"37";"-";"-"
"07/26/2024 04.45 AM";"109";"109";"-";"-"
"07/26/2024 05.00 AM";"103";"103";"-";"-"
"07/26/2024 05.15 AM";"30";"30";"-";"-"
"07/26/2024 05.30 AM";"39";"39";"-";"-"
"07/26/2024 05.45 AM";"110";"110";"-";"-"
"07/26/2024 06.00 AM";"102";"102";"-";"-"
"07/26/2024 06.15 AM";"30";"30";"-";"-"
"07/26/2024 06.30 AM";"40";"40";"-";"-"
"07/26/2024 06.45 AM";"110";"110";"-";"-"
"07/26/2024 07.00 AM";"100";"100";"-";"-"
"07/26/2024 07.15 AM";"30";"30";"-";"-"
"07/26/2024 07.30 AM";"42";"42";"-";"-"
"07/26/2024 07.45 AM";"109";"109";"-";"-"
"07/26/2024 08.00 AM";"98";"98";"-";"-"
"07/26/2024 08.15 AM";"30";"30";"-";"-"
"07/26/2024 08.30 AM";"44";"44";"-";"-"
"07/26/2024 08.45 AM";"96";"96";"-";"-"
"07/26/2024 09.00 AM";"30";"30";"-";"-"
"07/26/2024 09.15 AM";"46";"46";"-";"-"
"07/26/2024 09.30 AM";"95";"95";"-";"-"
"07/26/2024 09.45 AM";"30";"30";"-";"-"
"07/26/2024 10.00 AM";"47";"47";"-";"-"
"07/26/2024 10.15 AM";"94";"94";"-";"-"
"07/26/2024 10.30 AM";"30";"30";"-";"-"
"07/26/2024 10.45 AM";"49";"49";"-";"-"
"07/26/2024 11.00 AM";"93";"93";"-";"-"
"07/26/2024 11.15 AM";"30";"30";"-";"-"
"07/26/2024 11.30 AM";"50";"50";"-";"-"
"07/26/2024 11.45 AM";"91";"91";"-";"-"
"07/26/2024 12.00 PM";"30";"30";"-";"-"
"07/26/2024 12.15 PM";"52";"52";"-";"-"
"07/26/2024 12.30 PM";"90";"90";"-";"-"
"07/26/2024 12.45 PM";"30";"30";"-";"-"
"07/26/2024 01.00 PM";"54";"54";"-";"-"
"07/26/2024 01.15 PM";"89";"89";"-";"-"
"07/26/2024 01.30 PM";"822";"822";"-";"-"
"07/26/2024 01.45 PM";"212";"212";"-";"-"
"07/26/2024 02.00 PM";"1,243";"1,243";"-";"-"
"07/26/2024 02.15 PM";"1,132";"1,132";"-";"-"
"07/26/2024 02.30 PM";"265";"265";"-";"-"
"07/26/2024 02.45 PM";"147";"147";"-";"-"
"07/26/2024 03.00 PM";"76";"76";"-";"-"
"07/26/2024 03.15 PM";"1,194";"1,194";"-";"-"
"07/26/2024 03.30 PM";"687";"687";"-";"-"
"07/26/2024 03.45 PM";"34";"34";"-";"-"
"07/26/2024 04.00 PM";"62";"62";"-";"-"
"07/26/2024 04.15 PM";"83";"83";"-";"-"
"07/26/2024 04.30 PM";"30";"30";"-";"-"
"07/26/2024 04.45 PM";"61";"61";"-";"-"
"07/26/2024 05.00 PM";"81";"81";"-";"-"
"07/26/2024 05.15 PM";"30";"30";"-";"-"
"07/26/2024 05.30 PM";"61";"61";"-";"-"
"07/26/2024 05.45 PM";"80";"80";"-";"-"
"07/26/2024 06.00 PM";"30";"30";"-";"-"
"07/26/2024 06.15 PM";"64";"64";"-";"-"
"07/26/2024 06.30 PM";"79";"79";"-";"-"
"07/26/2024 06.45 PM";"30";"30";"-";"-"
"07/26/2024 07.00 PM";"410";"410";"-";"-"
"07/26/2024 07.15 PM";"3,253";"3,253";"-";"-"
"07/26/2024 07.30 PM";"3,532";"3,532";"-";"-"
"07/26/2024 07.45 PM";"2,683";"2,683";"-";"-"
"07/26/2024 08.00 PM";"33";"33";"-";"-"
"07/26/2024 08.15 PM";"53";"53";"-";"-"
"07/26/2024 08.30 PM";"83";"83";"-";"-"
"07/26/2024 08.45 PM";"30";"30";"-";"-"
"07/26/2024 09.00 PM";"54";"54";"-";"-"
"07/26/2024 09.15 PM";"109";"109";"-";"-"
"07/26/2024 09.30 PM";"84";"84";"-";"-"
"07/26/2024 09.45 PM";"30";"30";"-";"-"
"07/26/2024 10.00 PM";"57";"57";"-";"-"
"07/26/2024 10.15 PM";"110";"110";"-";"-"
"07/26/2024 10.30 PM";"83";"83";"-";"-"
"07/26/2024 10.45 PM";"30";"30";"-";"-"
"07/26/2024 11.00 PM";"59";"59";"-";"-"
"07/26/2024 11.15 PM";"111";"111";"-";"-"
"07/26/2024 11.30 PM";"80";"80";"-";"-"
"07/26/2024 11.45 PM";"30";"30";"-";"-"
"07/27/2024 12.00 AM";"60";"60";"-";"-"
"07/27/2024 12.15 AM";"111";"111";"-";"-"
"07/27/2024 12.30 AM";"79";"79";"-";"-"
"07/27/2024 12.45 AM";"30";"30";"-";"-"
"07/27/2024 01.00 AM";"63";"63";"-";"-"
"07/27/2024 01.15 AM";"111";"111";"-";"-"
"07/27/2024 01.30 AM";"77";"77";"-";"-"
"07/27/2024 01.45 AM";"30";"30";"-";"-"
"07/27/2024 02.00 AM";"65";"65";"-";"-"
"07/27/2024 02.15 AM";"111";"111";"-";"-"
"07/27/2024 02.30 AM";"75";"75";"-";"-"
"07/27/2024 02.45 AM";"30";"30";"-";"-"
"07/27/2024 03.00 AM";"66";"66";"-";"-"
"07/27/2024 03.15 AM";"111";"111";"-";"-"
"07/27/2024 03.30 AM";"73";"73";"-";"-"
"07/27/2024 03.45 AM";"30";"30";"-";"-"
"07/27/2024 04.00 AM";"68";"68";"-";"-"
"07/27/2024 04.15 AM";"112";"112";"-";"-"
"07/27/2024 04.30 AM";"72";"72";"-";"-"
"07/27/2024 04.45 AM";"30";"30";"-";"-"
"07/27/2024 05.00 AM";"70";"70";"-";"-"
"07/27/2024 05.15 AM";"112";"112";"-";"-"
"07/27/2024 05.30 AM";"70";"70";"-";"-"
"07/27/2024 05.45 AM";"30";"30";"-";"-"
"07/27/2024 06.00 AM";"71";"71";"-";"-"
"07/27/2024 06.15 AM";"110";"110";"-";"-"
"07/27/2024 06.30 AM";"67";"67";"-";"-"
"07/27/2024 06.45 AM";"30";"30";"-";"-"
"07/27/2024 07.00 AM";"74";"74";"-";"-"
