sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:39";;;;
"Export UTC date";"2024-12-29T09:15:39.091Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/04/2024 12.15 AM";"94";"311";"217";"0";"0"
"10/04/2024 12.30 AM";"2,977";"3,206";"229";"0";"0"
"10/04/2024 12.45 AM";"3,892";"4,132";"241";"0";"0"
"10/04/2024 01.00 AM";"4,046";"4,339";"293";"0";"0"
"10/04/2024 01.15 AM";"1,891";"2,128";"238";"0";"0"
"10/04/2024 01.30 AM";"74";"247";"173";"0";"0"
"10/04/2024 01.45 AM";"113";"283";"169";"0";"0"
"10/04/2024 02.00 AM";"147";"257";"110";"0";"0"
"10/04/2024 02.15 AM";"104";"192";"88";"0";"0"
"10/04/2024 02.30 AM";"73";"160";"87";"0";"0"
"10/04/2024 02.45 AM";"116";"202";"86";"0";"0"
"10/04/2024 03.00 AM";"149";"268";"119";"0";"0"
"10/04/2024 03.15 AM";"104";"281";"177";"0";"0"
"10/04/2024 03.30 AM";"73";"246";"173";"0";"0"
"10/04/2024 03.45 AM";"118";"289";"171";"0";"0"
"10/04/2024 04.00 AM";"150";"282";"132";"0";"0"
"10/04/2024 04.15 AM";"102";"188";"86";"0";"0"
"10/04/2024 04.30 AM";"73";"158";"85";"0";"0"
"10/04/2024 04.45 AM";"120";"206";"85";"0";"0"
"10/04/2024 05.00 AM";"151";"237";"86";"0";"0"
"10/04/2024 05.15 AM";"101";"277";"176";"0";"0"
"10/04/2024 05.30 AM";"2,207";"2,387";"180";"0";"0"
"10/04/2024 05.45 AM";"3,784";"3,979";"195";"0";"0"
"10/04/2024 06.00 AM";"3,945";"4,121";"176";"0";"0"
"10/04/2024 06.15 AM";"4,059";"4,166";"107";"0";"0"
"10/04/2024 06.30 AM";"526";"623";"97";"0";"0"
"10/04/2024 06.45 AM";"73";"157";"84";"0";"0"
"10/04/2024 07.00 AM";"137";"225";"87";"0";"0"
"10/04/2024 07.15 AM";"146";"302";"156";"0";"0"
"10/04/2024 07.30 AM";"79";"256";"177";"0";"0"
"10/04/2024 07.45 AM";"73";"242";"169";"1";"1"
"10/04/2024 08.00 AM";"141";"327";"186";"172";"172"
"10/04/2024 08.15 AM";"150";"463";"312";"246";"246"
"10/04/2024 08.30 AM";"78";"342";"264";"360";"360"
"10/04/2024 08.45 AM";"73";"734";"661";"808";"808"
"10/04/2024 09.00 AM";"144";"574";"430";"525";"525"
"10/04/2024 09.15 AM";"151";"412";"261";"549";"549"
"10/04/2024 09.30 AM";"76";"356";"281";"897";"897"
"10/04/2024 09.45 AM";"72";"285";"212";"1,150";"1,150"
"10/04/2024 10.00 AM";"146";"958";"812";"1,110";"1,110"
"10/04/2024 10.15 AM";"151";"1,095";"944";"1,051";"1,051"
"10/04/2024 10.30 AM";"1,868";"2,047";"180";"725";"725"
"10/04/2024 10.45 AM";"3,778";"6,481";"2,703";"843";"843"
"10/04/2024 11.00 AM";"3,942";"6,503";"2,562";"799";"799"
"10/04/2024 11.15 AM";"-";"5,028";"5,028";"1,115";"1,115"
"10/04/2024 11.30 AM";"-";"316";"316";"1,937";"1,937"
"10/04/2024 11.45 AM";"-";"217";"217";"3,147";"3,147"
"10/04/2024 12.00 PM";"-";"233";"233";"3,094";"3,094"
"10/04/2024 12.15 PM";"-";"560";"560";"3,424";"3,424"
"10/04/2024 12.30 PM";"-";"652";"652";"3,205";"3,205"
"10/04/2024 12.45 PM";"-";"1,213";"1,213";"3,325";"3,325"
"10/04/2024 01.00 PM";"-";"2,160";"2,160";"2,024";"2,024"
"10/04/2024 01.15 PM";"-";"1,784";"1,784";"1,918";"1,918"
"10/04/2024 01.30 PM";"75";"685";"611";"1,444";"1,444"
"10/04/2024 01.45 PM";"81";"399";"318";"1,858";"1,858"
"10/04/2024 02.00 PM";"1,729";"1,976";"247";"3,112";"3,112"
"10/04/2024 02.15 PM";"4,176";"6,423";"2,247";"3,470";"3,470"
"10/04/2024 02.30 PM";"2,180";"3,030";"851";"3,107";"3,107"
"10/04/2024 02.45 PM";"3,934";"4,075";"141";"2,220";"2,220"
"10/04/2024 03.00 PM";"1,766";"1,882";"116";"1,551";"1,551"
"10/04/2024 03.15 PM";"74";"153";"79";"1,066";"1,066"
"10/04/2024 03.30 PM";"118";"263";"145";"1,919";"1,919"
"10/04/2024 03.45 PM";"147";"337";"189";"974";"974"
"10/04/2024 04.00 PM";"102";"277";"175";"490";"490"
"10/04/2024 04.15 PM";"75";"256";"181";"1,162";"1,162"
"10/04/2024 04.30 PM";"122";"540";"418";"908";"908"
"10/04/2024 04.45 PM";"1,903";"2,152";"249";"1,326";"1,326"
"10/04/2024 05.00 PM";"79";"227";"148";"1,221";"1,221"
"10/04/2024 05.15 PM";"80";"230";"150";"1,118";"1,118"
"10/04/2024 05.30 PM";"148";"321";"173";"754";"754"
"10/04/2024 05.45 PM";"144";"395";"251";"497";"497"
"10/04/2024 06.00 PM";"74";"270";"196";"332";"332"
"10/04/2024 06.15 PM";"80";"307";"227";"114";"114"
"10/04/2024 06.30 PM";"150";"328";"178";"26";"26"
"10/04/2024 06.45 PM";"143";"284";"141";"5";"5"
"10/04/2024 07.00 PM";"74";"161";"87";"0";"0"
"10/04/2024 07.15 PM";"82";"170";"88";"0";"0"
"10/04/2024 07.30 PM";"1,548";"1,680";"132";"0";"0"
"10/04/2024 07.45 PM";"3,773";"4,121";"348";"0";"0"
"10/04/2024 08.00 PM";"3,982";"4,361";"378";"0";"0"
"10/04/2024 08.15 PM";"3,736";"4,197";"461";"0";"0"
"10/04/2024 08.30 PM";"77";"796";"719";"0";"0"
"10/04/2024 08.45 PM";"80";"337";"257";"0";"0"
"10/04/2024 09.00 PM";"146";"252";"105";"0";"0"
"10/04/2024 09.15 PM";"139";"245";"106";"0";"0"
"10/04/2024 09.30 PM";"74";"167";"93";"0";"0"
"10/04/2024 09.45 PM";"83";"176";"93";"0";"0"
"10/04/2024 10.00 PM";"148";"293";"144";"0";"0"
"10/04/2024 10.15 PM";"139";"325";"187";"0";"0"
"10/04/2024 10.30 PM";"73";"263";"189";"0";"0"
"10/04/2024 10.45 PM";"84";"391";"307";"0";"0"
"10/04/2024 11.00 PM";"149";"457";"308";"0";"0"
"10/04/2024 11.15 PM";"138";"395";"257";"0";"0"
"10/04/2024 11.30 PM";"74";"289";"215";"0";"0"
"10/04/2024 11.45 PM";"98";"315";"217";"0";"0"
"10/05/2024 12.00 AM";"3,129";"3,366";"237";"0";"0"
"10/05/2024 12.15 AM";"3,826";"4,083";"258";"0";"0"
"10/05/2024 12.30 AM";"3,988";"4,312";"324";"0";"0"
"10/05/2024 12.45 AM";"3,918";"4,283";"365";"0";"0"
"10/05/2024 01.00 AM";"78";"288";"210";"0";"0"
"10/05/2024 01.15 AM";"77";"249";"171";"0";"0"
"10/05/2024 01.30 AM";"146";"279";"133";"0";"0"
"10/05/2024 01.45 AM";"144";"231";"87";"0";"0"
"10/05/2024 02.00 AM";"74";"161";"87";"0";"0"
"10/05/2024 02.15 AM";"79";"166";"87";"0";"0"
