sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:49";;;;;
"Export UTC date";"2024-12-29T09:16:49.894Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/22/2024 12.15 AM";"0";"3,560";"3,675";"115";"0";"0"
"11/22/2024 12.30 AM";"0";"5,805";"5,901";"96";"0";"0"
"11/22/2024 12.45 AM";"0";"3,039";"3,430";"391";"0";"0"
"11/22/2024 01.00 AM";"0";"5,859";"6,048";"189";"0";"0"
"11/22/2024 01.15 AM";"0";"94";"259";"165";"0";"0"
"11/22/2024 01.30 AM";"0";"110";"271";"161";"0";"0"
"11/22/2024 01.45 AM";"0";"3,822";"3,988";"166";"0";"0"
"11/22/2024 02.00 AM";"0";"5,859";"6,035";"176";"0";"0"
"11/22/2024 02.15 AM";"0";"3,588";"3,767";"179";"0";"0"
"11/22/2024 02.30 AM";"0";"91";"249";"157";"0";"0"
"11/22/2024 02.45 AM";"0";"118";"227";"109";"0";"0"
"11/22/2024 03.00 AM";"0";"3,436";"3,519";"83";"0";"0"
"11/22/2024 03.15 AM";"0";"2,535";"2,623";"88";"0";"0"
"11/22/2024 03.30 AM";"0";"5,892";"5,986";"94";"0";"0"
"11/22/2024 03.45 AM";"0";"6,010";"6,106";"96";"0";"0"
"11/22/2024 04.00 AM";"0";"2,512";"2,607";"95";"0";"0"
"11/22/2024 04.15 AM";"0";"88";"166";"78";"0";"0"
"11/22/2024 04.30 AM";"0";"496";"595";"99";"0";"0"
"11/22/2024 04.45 AM";"0";"4,277";"4,452";"175";"0";"0"
"11/22/2024 05.00 AM";"0";"5,801";"5,984";"183";"0";"0"
"11/22/2024 05.15 AM";"0";"43";"206";"163";"0";"0"
"11/22/2024 05.30 AM";"0";"28";"186";"158";"0";"0"
"11/22/2024 05.45 AM";"0";"98";"255";"158";"0";"0"
"11/22/2024 06.00 AM";"0";"99";"257";"158";"0";"0"
"11/22/2024 06.15 AM";"0";"29";"108";"79";"0";"0"
"11/22/2024 06.30 AM";"0";"31";"120";"89";"0";"0"
"11/22/2024 06.45 AM";"0";"98";"284";"186";"0";"0"
"11/22/2024 07.00 AM";"0";"97";"335";"238";"0";"0"
"11/22/2024 07.15 AM";"0";"28";"401";"373";"0";"0"
"11/22/2024 07.30 AM";"0";"31";"438";"407";"0";"0"
"11/22/2024 07.45 AM";"0";"97";"1,221";"1,124";"0";"0"
"11/22/2024 08.00 AM";"0";"94";"1,009";"915";"57";"57"
"11/22/2024 08.15 AM";"0";"28";"561";"533";"396";"396"
"11/22/2024 08.30 AM";"332";"33";"1,019";"654";"1,083";"1,083"
"11/22/2024 08.45 AM";"200";"99";"616";"317";"813";"813"
"11/22/2024 09.00 AM";"0";"94";"428";"334";"698";"698"
"11/22/2024 09.15 AM";"0";"89";"535";"446";"846";"846"
"11/22/2024 09.30 AM";"238";"2,432";"2,941";"271";"1,840";"1,840"
"11/22/2024 09.45 AM";"235";"2,366";"2,834";"233";"1,348";"1,348"
"11/22/2024 10.00 AM";"0";"5,670";"5,954";"283";"1,831";"1,831"
"11/22/2024 10.15 AM";"0";"5,923";"6,246";"323";"3,568";"3,568"
"11/22/2024 10.30 AM";"0";"6,049";"8,055";"2,006";"5,197";"5,197"
"11/22/2024 10.45 AM";"421";"1,269";"2,805";"1,115";"5,262";"5,262"
"11/22/2024 11.00 AM";"718";"85";"1,030";"227";"5,204";"5,204"
"11/22/2024 11.15 AM";"531";"141";"866";"194";"5,336";"5,336"
"11/22/2024 11.30 AM";"371";"157";"747";"218";"5,335";"5,335"
"11/22/2024 11.45 AM";"331";"98";"647";"218";"5,298";"5,298"
"11/22/2024 12.00 PM";"321";"1,311";"1,845";"213";"5,086";"5,086"
"11/22/2024 12.15 PM";"209";"4,701";"5,213";"302";"2,800";"2,800"
"11/22/2024 12.30 PM";"240";"3,747";"4,183";"196";"2,985";"2,985"
"11/22/2024 12.45 PM";"330";"1,875";"2,360";"155";"1,866";"1,866"
"11/22/2024 01.00 PM";"390";"86";"538";"61";"2,716";"2,716"
"11/22/2024 01.15 PM";"326";"135";"552";"90";"1,095";"1,095"
"11/22/2024 01.30 PM";"272";"158";"519";"89";"917";"917"
"11/22/2024 01.45 PM";"275";"368";"719";"77";"802";"802"
"11/22/2024 02.00 PM";"185";"4,014";"4,485";"285";"502";"502"
"11/22/2024 02.15 PM";"0";"5,922";"6,019";"97";"408";"408"
"11/22/2024 02.30 PM";"0";"727";"898";"170";"390";"390"
"11/22/2024 02.45 PM";"0";"85";"806";"721";"214";"214"
"11/22/2024 03.00 PM";"0";"147";"1,726";"1,580";"218";"218"
"11/22/2024 03.15 PM";"0";"156";"1,286";"1,131";"399";"399"
"11/22/2024 03.30 PM";"0";"1,081";"1,892";"811";"228";"228"
"11/22/2024 03.45 PM";"0";"4,757";"5,501";"744";"126";"126"
"11/22/2024 04.00 PM";"0";"5,920";"6,485";"564";"48";"48"
"11/22/2024 04.15 PM";"0";"3,911";"4,077";"166";"7";"7"
"11/22/2024 04.30 PM";"0";"88";"515";"427";"0";"0"
"11/22/2024 04.45 PM";"0";"112";"223";"111";"0";"0"
"11/22/2024 05.00 PM";"0";"1,341";"1,454";"113";"0";"0"
"11/22/2024 05.15 PM";"0";"5,105";"5,239";"134";"0";"0"
"11/22/2024 05.30 PM";"0";"3,135";"3,262";"127";"0";"0"
"11/22/2024 05.45 PM";"0";"89";"270";"181";"0";"0"
"11/22/2024 06.00 PM";"0";"121";"323";"202";"0";"0"
"11/22/2024 06.15 PM";"0";"2,883";"3,085";"202";"0";"0"
"11/22/2024 06.30 PM";"0";"2,980";"3,370";"390";"0";"0"
"11/22/2024 06.45 PM";"0";"5,909";"6,361";"451";"0";"0"
"11/22/2024 07.00 PM";"0";"3,359";"4,368";"1,009";"0";"0"
"11/22/2024 07.15 PM";"0";"90";"415";"325";"0";"0"
"11/22/2024 07.30 PM";"0";"1,483";"1,779";"297";"0";"0"
"11/22/2024 07.45 PM";"0";"5,257";"5,439";"182";"0";"0"
"11/22/2024 08.00 PM";"0";"3,381";"3,545";"163";"0";"0"
"11/22/2024 08.15 PM";"0";"90";"243";"153";"0";"0"
"11/22/2024 08.30 PM";"0";"500";"657";"158";"0";"0"
"11/22/2024 08.45 PM";"26";"4,484";"4,691";"181";"0";"0"
"11/22/2024 09.00 PM";"86";"5,924";"6,365";"355";"0";"0"
"11/22/2024 09.15 PM";"0";"4,089";"4,298";"209";"0";"0"
"11/22/2024 09.30 PM";"0";"90";"267";"177";"0";"0"
"11/22/2024 09.45 PM";"0";"2,623";"2,802";"179";"0";"0"
"11/22/2024 10.00 PM";"0";"4,772";"5,036";"265";"0";"0"
"11/22/2024 10.15 PM";"0";"3,439";"3,761";"322";"0";"0"
"11/22/2024 10.30 PM";"0";"5,062";"5,383";"320";"0";"0"
"11/22/2024 10.45 PM";"0";"90";"384";"293";"0";"0"
"11/22/2024 11.00 PM";"0";"101";"381";"280";"0";"0"
"11/22/2024 11.15 PM";"0";"100";"314";"214";"0";"0"
