sep=;
"Version";"4";;;
"Language";"en-US";;;
"Local export date";"29.12.2024 10:12:48";;;
"Export UTC date";"2024-12-29T09:12:48.076Z";;;
"Time zone";"Europe/Berlin";;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;
"Time period";"Total consumption [kW]";"Base load [kW]";"Total generation [kW]";"PV generation [kW]"
"08/09/2024 12.15 AM";"0.11";"0.11";"0.00";"0.00"
"08/09/2024 12.30 AM";"0.12";"0.12";"0.00";"0.00"
"08/09/2024 12.45 AM";"0.19";"0.19";"0.00";"0.00"
"08/09/2024 01.00 AM";"0.21";"0.21";"0.00";"0.00"
"08/09/2024 01.15 AM";"0.20";"0.20";"0.00";"0.00"
"08/09/2024 01.30 AM";"0.21";"0.21";"0.00";"0.00"
"08/09/2024 01.45 AM";"0.27";"0.27";"0.00";"0.00"
"08/09/2024 02.00 AM";"0.25";"0.25";"0.00";"0.00"
"08/09/2024 02.15 AM";"0.19";"0.19";"0.00";"0.00"
"08/09/2024 02.30 AM";"0.21";"0.21";"0.00";"0.00"
"08/09/2024 02.45 AM";"0.20";"0.20";"0.00";"0.00"
"08/09/2024 03.00 AM";"0.17";"0.17";"0.00";"0.00"
"08/09/2024 03.15 AM";"0.11";"0.11";"0.00";"0.00"
"08/09/2024 03.30 AM";"0.13";"0.13";"0.00";"0.00"
"08/09/2024 03.45 AM";"0.19";"0.19";"0.00";"0.00"
"08/09/2024 04.00 AM";"0.17";"0.17";"0.00";"0.00"
"08/09/2024 04.15 AM";"0.20";"0.20";"0.00";"0.00"
"08/09/2024 04.30 AM";"0.22";"0.22";"0.00";"0.00"
"08/09/2024 04.45 AM";"0.28";"0.28";"0.00";"0.00"
"08/09/2024 05.00 AM";"0.25";"0.25";"0.00";"0.00"
"08/09/2024 05.15 AM";"0.19";"0.19";"0.00";"0.00"
"08/09/2024 05.30 AM";"0.22";"0.22";"0.00";"0.00"
"08/09/2024 05.45 AM";"0.22";"0.22";"0.00";"0.00"
"08/09/2024 06.00 AM";"0.16";"0.16";"0.00";"0.00"
"08/09/2024 06.15 AM";"0.11";"0.11";"0.04";"0.04"
"08/09/2024 06.30 AM";"0.14";"0.14";"0.20";"0.20"
"08/09/2024 06.45 AM";"0.19";"0.19";"0.44";"0.44"
"08/09/2024 07.00 AM";"0.15";"0.15";"0.92";"0.92"
"08/09/2024 07.15 AM";"0.16";"0.16";"1.58";"1.58"
"08/09/2024 07.30 AM";"0.22";"0.22";"2.50";"2.50"
"08/09/2024 07.45 AM";"0.26";"0.26";"2.91";"2.91"
"08/09/2024 08.00 AM";"0.23";"0.23";"3.44";"3.44"
"08/09/2024 08.15 AM";"0.17";"0.17";"3.66";"3.66"
"08/09/2024 08.30 AM";"0.22";"0.22";"3.89";"3.89"
"08/09/2024 08.45 AM";"0.17";"0.17";"3.87";"3.87"
"08/09/2024 09.00 AM";"0.09";"0.09";"4.68";"4.68"
"08/09/2024 09.15 AM";"0.96";"0.96";"4.83";"4.83"
"08/09/2024 09.30 AM";"3.02";"3.02";"5.47";"5.47"
"08/09/2024 09.45 AM";"2.96";"2.96";"5.60";"5.60"
"08/09/2024 10.00 AM";"2.99";"2.99";"6.21";"6.21"
"08/09/2024 10.15 AM";"3.07";"3.07";"6.48";"6.48"
"08/09/2024 10.30 AM";"3.06";"3.06";"6.93";"6.93"
"08/09/2024 10.45 AM";"3.08";"3.08";"6.81";"6.81"
"08/09/2024 11.00 AM";"3.09";"3.09";"6.02";"6.02"
"08/09/2024 11.15 AM";"3.08";"3.08";"9.02";"9.02"
"08/09/2024 11.30 AM";"3.10";"3.10";"7.43";"7.43"
"08/09/2024 11.45 AM";"3.10";"3.10";"5.75";"5.75"
"08/09/2024 12.00 PM";"2.98";"2.98";"5.22";"5.22"
"08/09/2024 12.15 PM";"2.97";"2.97";"6.53";"6.53"
"08/09/2024 12.30 PM";"3.03";"3.03";"8.67";"8.67"
"08/09/2024 12.45 PM";"2.94";"2.94";"8.37";"8.37"
"08/09/2024 01.00 PM";"3.01";"3.01";"9.51";"9.51"
"08/09/2024 01.15 PM";"3.10";"3.10";"9.63";"9.63"
"08/09/2024 01.30 PM";"3.08";"3.08";"8.74";"8.74"
"08/09/2024 01.45 PM";"3.11";"3.11";"9.05";"9.05"
"08/09/2024 02.00 PM";"3.15";"3.15";"8.15";"8.15"
"08/09/2024 02.15 PM";"3.06";"3.06";"7.61";"7.61"
"08/09/2024 02.30 PM";"3.17";"3.17";"8.62";"8.62"
"08/09/2024 02.45 PM";"3.10";"3.10";"9.14";"9.14"
"08/09/2024 03.00 PM";"3.01";"3.01";"8.05";"8.05"
"08/09/2024 03.15 PM";"3.01";"3.01";"8.86";"8.86"
"08/09/2024 03.30 PM";"3.06";"3.06";"8.38";"8.38"
"08/09/2024 03.45 PM";"3.04";"3.04";"6.91";"6.91"
"08/09/2024 04.00 PM";"3.03";"3.03";"6.70";"6.70"
"08/09/2024 04.15 PM";"3.10";"3.10";"7.39";"7.39"
"08/09/2024 04.30 PM";"3.13";"3.13";"5.73";"5.73"
"08/09/2024 04.45 PM";"3.15";"3.15";"6.08";"6.08"
"08/09/2024 05.00 PM";"3.10";"3.10";"5.55";"5.55"
"08/09/2024 05.15 PM";"3.14";"3.14";"5.16";"5.16"
"08/09/2024 05.30 PM";"3.14";"3.14";"4.57";"4.57"
"08/09/2024 05.45 PM";"0.69";"0.69";"4.52";"4.52"
"08/09/2024 06.00 PM";"0.11";"0.11";"3.98";"3.98"
"08/09/2024 06.15 PM";"0.13";"0.13";"5.11";"5.11"
"08/09/2024 06.30 PM";"0.12";"0.12";"4.92";"4.92"
"08/09/2024 06.45 PM";"0.09";"0.09";"5.44";"5.44"
"08/09/2024 07.00 PM";"0.15";"0.15";"4.47";"4.47"
"08/09/2024 07.15 PM";"0.12";"0.12";"4.38";"4.38"
"08/09/2024 07.30 PM";"0.20";"0.20";"3.23";"3.23"
"08/09/2024 07.45 PM";"0.27";"0.27";"1.17";"1.17"
"08/09/2024 08.00 PM";"0.23";"0.23";"0.43";"0.43"
"08/09/2024 08.15 PM";"0.20";"0.20";"0.23";"0.23"
"08/09/2024 08.30 PM";"0.25";"0.25";"0.11";"0.11"
"08/09/2024 08.45 PM";"0.29";"0.29";"0.03";"0.03"
"08/09/2024 09.00 PM";"0.24";"0.24";"0.00";"0.00"
"08/09/2024 09.15 PM";"0.73";"0.73";"0.00";"0.00"
"08/09/2024 09.30 PM";"0.37";"0.37";"0.00";"0.00"
"08/09/2024 09.45 PM";"0.64";"0.64";"0.00";"0.00"
"08/09/2024 10.00 PM";"0.48";"0.48";"0.00";"0.00"
"08/09/2024 10.15 PM";"0.31";"0.31";"0.00";"0.00"
"08/09/2024 10.30 PM";"0.27";"0.27";"0.00";"0.00"
"08/09/2024 10.45 PM";"0.28";"0.28";"0.00";"0.00"
"08/09/2024 11.00 PM";"0.41";"0.41";"0.00";"0.00"
"08/09/2024 11.15 PM";"0.44";"0.44";"0.00";"0.00"
"08/09/2024 11.30 PM";"0.48";"0.48";"0.00";"0.00"
"08/09/2024 11.45 PM";"0.35";"0.35";"0.00";"0.00"
"08/10/2024 12.00 AM";"0.32";"0.32";"0.00";"0.00"
"08/10/2024 12.15 AM";"0.38";"0.38";"0.00";"0.00"
