sep=;
"Version";"4";;;
"Language";"en-US";;;
"Local export date";"29.12.2024 10:14:42";;;
"Export UTC date";"2024-12-29T09:14:42.121Z";;;
"Time zone";"Europe/Berlin";;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;
"Time period";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"09/13/2024 12.15 AM";"225";"225";"0";"0"
"09/13/2024 12.30 AM";"216";"216";"0";"0"
"09/13/2024 12.45 AM";"326";"326";"0";"0"
"09/13/2024 01.00 AM";"339";"339";"0";"0"
"09/13/2024 01.15 AM";"262";"262";"0";"0"
"09/13/2024 01.30 AM";"195";"195";"0";"0"
"09/13/2024 01.45 AM";"1,291";"1,291";"0";"0"
"09/13/2024 02.00 AM";"3,591";"3,591";"0";"0"
"09/13/2024 02.15 AM";"4,039";"4,039";"0";"0"
"09/13/2024 02.30 AM";"4,156";"4,156";"0";"0"
"09/13/2024 02.45 AM";"2,041";"2,041";"0";"0"
"09/13/2024 03.00 AM";"135";"135";"0";"0"
"09/13/2024 03.15 AM";"221";"221";"0";"0"
"09/13/2024 03.30 AM";"299";"299";"0";"0"
"09/13/2024 03.45 AM";"272";"272";"0";"0"
"09/13/2024 04.00 AM";"263";"263";"0";"0"
"09/13/2024 04.15 AM";"302";"302";"0";"0"
"09/13/2024 04.30 AM";"334";"334";"0";"0"
"09/13/2024 04.45 AM";"289";"289";"0";"0"
"09/13/2024 05.00 AM";"187";"187";"0";"0"
"09/13/2024 05.15 AM";"222";"222";"0";"0"
"09/13/2024 05.30 AM";"253";"253";"0";"0"
"09/13/2024 05.45 AM";"908";"908";"0";"0"
"09/13/2024 06.00 AM";"3,588";"3,588";"0";"0"
"09/13/2024 06.15 AM";"4,023";"4,023";"0";"0"
"09/13/2024 06.30 AM";"3,435";"3,435";"0";"0"
"09/13/2024 06.45 AM";"308";"308";"0";"0"
"09/13/2024 07.00 AM";"552";"552";"0";"0"
"09/13/2024 07.15 AM";"885";"885";"34";"34"
"09/13/2024 07.30 AM";"707";"707";"260";"260"
"09/13/2024 07.45 AM";"535";"535";"410";"410"
"09/13/2024 08.00 AM";"326";"326";"642";"642"
"09/13/2024 08.15 AM";"593";"593";"991";"991"
"09/13/2024 08.30 AM";"408";"408";"1,206";"1,206"
"09/13/2024 08.45 AM";"275";"275";"1,397";"1,397"
"09/13/2024 09.00 AM";"270";"270";"1,540";"1,540"
"09/13/2024 09.15 AM";"326";"326";"1,932";"1,932"
"09/13/2024 09.30 AM";"320";"320";"2,335";"2,335"
"09/13/2024 09.45 AM";"258";"258";"2,735";"2,735"
"09/13/2024 10.00 AM";"1,945";"1,945";"3,169";"3,169"
"09/13/2024 10.15 AM";"2,540";"2,540";"3,221";"3,221"
"09/13/2024 10.30 AM";"2,302";"2,302";"3,325";"3,325"
"09/13/2024 10.45 AM";"2,217";"2,217";"3,421";"3,421"
"09/13/2024 11.00 AM";"2,939";"2,939";"3,628";"3,628"
"09/13/2024 11.15 AM";"3,009";"3,009";"3,986";"3,986"
"09/13/2024 11.30 AM";"2,974";"2,974";"4,046";"4,046"
"09/13/2024 11.45 AM";"2,372";"2,372";"4,167";"4,167"
"09/13/2024 12.00 PM";"2,987";"2,987";"4,189";"4,189"
"09/13/2024 12.15 PM";"2,135";"2,135";"4,013";"4,013"
"09/13/2024 12.30 PM";"3,018";"3,018";"4,512";"4,512"
"09/13/2024 12.45 PM";"2,757";"2,757";"4,018";"4,018"
"09/13/2024 01.00 PM";"2,436";"2,436";"4,579";"4,579"
"09/13/2024 01.15 PM";"3,029";"3,029";"4,065";"4,065"
"09/13/2024 01.30 PM";"2,052";"2,052";"3,203";"3,203"
"09/13/2024 01.45 PM";"1,456";"1,456";"2,520";"2,520"
"09/13/2024 02.00 PM";"294";"294";"2,541";"2,541"
"09/13/2024 02.15 PM";"2,487";"2,487";"3,875";"3,875"
"09/13/2024 02.30 PM";"3,055";"3,055";"3,838";"3,838"
"09/13/2024 02.45 PM";"965";"965";"1,564";"1,564"
"09/13/2024 03.00 PM";"421";"421";"2,358";"2,358"
"09/13/2024 03.15 PM";"350";"350";"2,969";"2,969"
"09/13/2024 03.30 PM";"487";"487";"1,736";"1,736"
"09/13/2024 03.45 PM";"511";"511";"517";"517"
"09/13/2024 04.00 PM";"789";"789";"545";"545"
"09/13/2024 04.15 PM";"1,435";"1,435";"1,179";"1,179"
"09/13/2024 04.30 PM";"1,322";"1,322";"1,763";"1,763"
"09/13/2024 04.45 PM";"472";"472";"1,517";"1,517"
"09/13/2024 05.00 PM";"581";"581";"1,312";"1,312"
"09/13/2024 05.15 PM";"414";"414";"1,080";"1,080"
"09/13/2024 05.30 PM";"2,020";"2,020";"871";"871"
"09/13/2024 05.45 PM";"272";"272";"694";"694"
"09/13/2024 06.00 PM";"308";"308";"553";"553"
"09/13/2024 06.15 PM";"2,334";"2,334";"440";"440"
"09/13/2024 06.30 PM";"4,193";"4,193";"314";"314"
"09/13/2024 06.45 PM";"4,597";"4,597";"207";"207"
"09/13/2024 07.00 PM";"4,295";"4,295";"112";"112"
"09/13/2024 07.15 PM";"2,221";"2,221";"45";"45"
"09/13/2024 07.30 PM";"425";"425";"2";"2"
"09/13/2024 07.45 PM";"250";"250";"0";"0"
"09/13/2024 08.00 PM";"407";"407";"0";"0"
"09/13/2024 08.15 PM";"466";"466";"0";"0"
"09/13/2024 08.30 PM";"290";"290";"0";"0"
"09/13/2024 08.45 PM";"294";"294";"0";"0"
"09/13/2024 09.00 PM";"971";"971";"0";"0"
"09/13/2024 09.15 PM";"3,927";"3,927";"0";"0"
"09/13/2024 09.30 PM";"4,287";"4,287";"0";"0"
"09/13/2024 09.45 PM";"4,277";"4,277";"0";"0"
"09/13/2024 10.00 PM";"1,551";"1,551";"0";"0"
"09/13/2024 10.15 PM";"214";"214";"0";"0"
"09/13/2024 10.30 PM";"260";"260";"0";"0"
"09/13/2024 10.45 PM";"279";"279";"0";"0"
"09/13/2024 11.00 PM";"225";"225";"0";"0"
"09/13/2024 11.15 PM";"223";"223";"0";"0"
"09/13/2024 11.30 PM";"333";"333";"0";"0"
"09/13/2024 11.45 PM";"458";"458";"0";"0"
"09/14/2024 12.00 AM";"409";"409";"0";"0"
"09/14/2024 12.15 AM";"271";"271";"0";"0"
"09/14/2024 12.30 AM";"291";"291";"0";"0"
"09/14/2024 12.45 AM";"312";"312";"0";"0"
"09/14/2024 01.00 AM";"221";"221";"0";"0"
"09/14/2024 01.15 AM";"155";"155";"0";"0"
"09/14/2024 01.30 AM";"211";"211";"0";"0"
"09/14/2024 01.45 AM";"232";"232";"0";"0"
"09/14/2024 02.00 AM";"173";"173";"0";"0"
"09/14/2024 02.15 AM";"2,800";"2,800";"0";"0"
"09/14/2024 02.30 AM";"3,861";"3,861";"0";"0"
"09/14/2024 02.45 AM";"4,011";"4,011";"0";"0"
"09/14/2024 03.00 AM";"4,206";"4,206";"0";"0"
"09/14/2024 03.15 AM";"1,859";"1,859";"0";"0"
"09/14/2024 03.30 AM";"240";"240";"0";"0"
"09/14/2024 03.45 AM";"281";"281";"0";"0"
"09/14/2024 04.00 AM";"311";"311";"0";"0"
"09/14/2024 04.15 AM";"262";"262";"0";"0"
"09/14/2024 04.30 AM";"231";"231";"0";"0"
