sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:17:45";;;;;
"Export UTC date";"2024-12-29T09:17:45.124Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"12/06/2024 12.15 AM";"0";"4,030";"4,317";"286";"0";"0"
"12/06/2024 12.30 AM";"0";"5,160";"5,433";"273";"0";"0"
"12/06/2024 12.45 AM";"0";"5,408";"5,664";"256";"0";"0"
"12/06/2024 01.00 AM";"0";"2,693";"3,024";"330";"0";"0"
"12/06/2024 01.15 AM";"0";"2,805";"3,135";"330";"0";"0"
"12/06/2024 01.30 AM";"0";"86";"410";"324";"0";"0"
"12/06/2024 01.45 AM";"0";"130";"443";"312";"0";"0"
"12/06/2024 02.00 AM";"0";"156";"477";"320";"0";"0"
"12/06/2024 02.15 AM";"0";"121";"569";"448";"0";"0"
"12/06/2024 02.30 AM";"0";"85";"255";"170";"0";"0"
"12/06/2024 02.45 AM";"0";"2,422";"2,532";"110";"0";"0"
"12/06/2024 03.00 AM";"0";"5,309";"5,427";"118";"0";"0"
"12/06/2024 03.15 AM";"0";"2,598";"2,730";"132";"0";"0"
"12/06/2024 03.30 AM";"0";"86";"191";"105";"0";"0"
"12/06/2024 03.45 AM";"0";"122";"281";"159";"0";"0"
"12/06/2024 04.00 AM";"0";"157";"354";"197";"0";"0"
"12/06/2024 04.15 AM";"0";"116";"307";"191";"0";"0"
"12/06/2024 04.30 AM";"0";"83";"271";"187";"0";"0"
"12/06/2024 04.45 AM";"0";"2,158";"2,357";"199";"0";"0"
"12/06/2024 05.00 AM";"0";"3,805";"4,002";"197";"0";"0"
"12/06/2024 05.15 AM";"0";"3,460";"3,603";"143";"0";"0"
"12/06/2024 05.30 AM";"0";"86";"190";"104";"0";"0"
"12/06/2024 05.45 AM";"0";"91";"195";"104";"0";"0"
"12/06/2024 06.00 AM";"0";"154";"258";"104";"0";"0"
"12/06/2024 06.15 AM";"0";"145";"248";"103";"0";"0"
"12/06/2024 06.30 AM";"0";"82";"217";"135";"0";"0"
"12/06/2024 06.45 AM";"0";"92";"505";"413";"0";"0"
"12/06/2024 07.00 AM";"0";"737";"1,235";"497";"0";"0"
"12/06/2024 07.15 AM";"0";"3,537";"4,184";"647";"0";"0"
"12/06/2024 07.30 AM";"0";"3,801";"4,404";"603";"0";"0"
"12/06/2024 07.45 AM";"0";"1,559";"2,178";"620";"0";"0"
"12/06/2024 08.00 AM";"254";"82";"915";"578";"0";"0"
"12/06/2024 08.15 AM";"0";"125";"666";"542";"0";"0"
"12/06/2024 08.30 AM";"0";"154";"356";"203";"58";"58"
"12/06/2024 08.45 AM";"0";"109";"230";"120";"138";"138"
"12/06/2024 09.00 AM";"0";"83";"197";"114";"373";"373"
"12/06/2024 09.15 AM";"0";"129";"255";"126";"343";"343"
"12/06/2024 09.30 AM";"0";"2,743";"2,850";"108";"450";"450"
"12/06/2024 09.45 AM";"0";"3,740";"3,877";"137";"1,428";"1,428"
"12/06/2024 10.00 AM";"0";"3,839";"4,068";"229";"834";"834"
"12/06/2024 10.15 AM";"0";"1,389";"1,583";"194";"769";"769"
"12/06/2024 10.30 AM";"359";"83";"634";"192";"1,073";"1,073"
"12/06/2024 10.45 AM";"335";"130";"649";"184";"1,094";"1,094"
"12/06/2024 11.00 AM";"252";"156";"598";"190";"1,149";"1,149"
"12/06/2024 11.15 AM";"257";"106";"467";"104";"1,320";"1,320"
"12/06/2024 11.30 AM";"235";"82";"415";"98";"1,401";"1,401"
"12/06/2024 11.45 AM";"111";"133";"912";"668";"681";"681"
"12/06/2024 12.00 PM";"0";"1,715";"1,964";"248";"626";"626"
"12/06/2024 12.15 PM";"0";"3,675";"4,013";"337";"1,292";"1,292"
"12/06/2024 12.30 PM";"0";"3,786";"4,209";"423";"726";"726"
"12/06/2024 12.45 PM";"0";"3,632";"6,169";"2,536";"617";"617"
"12/06/2024 01.00 PM";"0";"87";"1,971";"1,884";"524";"524"
"12/06/2024 01.15 PM";"0";"88";"634";"546";"526";"526"
"12/06/2024 01.30 PM";"0";"154";"600";"446";"471";"471"
"12/06/2024 01.45 PM";"0";"151";"470";"319";"407";"407"
"12/06/2024 02.00 PM";"0";"1,582";"1,793";"210";"375";"375"
"12/06/2024 02.15 PM";"0";"3,727";"3,936";"208";"447";"447"
"12/06/2024 02.30 PM";"0";"3,836";"4,067";"231";"373";"373"
"12/06/2024 02.45 PM";"0";"1,810";"1,970";"160";"304";"304"
"12/06/2024 03.00 PM";"0";"85";"502";"418";"192";"192"
"12/06/2024 03.15 PM";"0";"123";"449";"327";"168";"168"
"12/06/2024 03.30 PM";"0";"156";"603";"447";"65";"65"
"12/06/2024 03.45 PM";"0";"115";"1,312";"1,197";"46";"46"
"12/06/2024 04.00 PM";"0";"83";"1,148";"1,065";"10";"10"
"12/06/2024 04.15 PM";"0";"2,986";"3,325";"339";"0";"0"
"12/06/2024 04.30 PM";"0";"3,989";"4,561";"571";"0";"0"
"12/06/2024 04.45 PM";"0";"5,442";"5,664";"222";"0";"0"
"12/06/2024 05.00 PM";"0";"2,463";"2,610";"146";"0";"0"
"12/06/2024 05.15 PM";"0";"1,335";"1,696";"360";"0";"0"
"12/06/2024 05.30 PM";"0";"169";"499";"330";"0";"0"
"12/06/2024 05.45 PM";"0";"203";"698";"494";"0";"0"
"12/06/2024 06.00 PM";"0";"888";"1,244";"355";"0";"0"
"12/06/2024 06.15 PM";"0";"1,317";"1,716";"399";"0";"0"
"12/06/2024 06.30 PM";"0";"115";"837";"722";"0";"0"
"12/06/2024 06.45 PM";"0";"2,516";"3,017";"500";"0";"0"
"12/06/2024 07.00 PM";"0";"5,090";"5,814";"724";"0";"0"
"12/06/2024 07.15 PM";"0";"5,419";"6,064";"645";"0";"0"
"12/06/2024 07.30 PM";"-";"2,121";"3,900";"1,779";"0";"0"
"12/06/2024 07.45 PM";"0";"83";"373";"290";"0";"0"
"12/06/2024 08.00 PM";"0";"127";"489";"363";"0";"0"
"12/06/2024 08.15 PM";"0";"154";"614";"460";"0";"0"
"12/06/2024 08.30 PM";"0";"108";"491";"383";"0";"0"
"12/06/2024 08.45 PM";"191";"83";"752";"478";"0";"0"
"12/06/2024 09.00 PM";"107";"2,676";"3,309";"527";"0";"0"
"12/06/2024 09.15 PM";"0";"5,200";"5,504";"305";"0";"0"
"12/06/2024 09.30 PM";"0";"5,276";"5,542";"265";"0";"0"
"12/06/2024 09.45 PM";"0";"87";"358";"271";"0";"0"
"12/06/2024 10.00 PM";"0";"86";"351";"265";"0";"0"
"12/06/2024 10.15 PM";"0";"153";"432";"279";"0";"0"
"12/06/2024 10.30 PM";"0";"150";"535";"385";"0";"0"
"12/06/2024 10.45 PM";"0";"82";"531";"449";"0";"0"
"12/06/2024 11.00 PM";"0";"804";"1,257";"453";"0";"0"
"12/06/2024 11.15 PM";"0";"3,532";"4,002";"470";"0";"0"
"12/06/2024 11.30 PM";"0";"3,776";"4,248";"471";"0";"0"
"12/06/2024 11.45 PM";"0";"2,853";"3,224";"371";"0";"0"
