sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:21";;;;;
"Export UTC date";"2024-12-29T09:16:21.747Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/01/2024 12.15 AM";"0";"136";"493";"357";"0";"0"
"11/01/2024 12.30 AM";"0";"80";"432";"351";"0";"0"
"11/01/2024 12.45 AM";"0";"100";"335";"235";"0";"0"
"11/01/2024 01.00 AM";"0";"155";"242";"87";"0";"0"
"11/01/2024 01.15 AM";"0";"136";"224";"88";"0";"0"
"11/01/2024 01.30 AM";"0";"1,622";"1,711";"88";"0";"0"
"11/01/2024 01.45 AM";"0";"3,881";"3,992";"111";"0";"0"
"11/01/2024 02.00 AM";"0";"4,035";"4,205";"170";"0";"0"
"11/01/2024 02.15 AM";"0";"3,093";"3,293";"201";"0";"0"
"11/01/2024 02.30 AM";"0";"83";"258";"174";"0";"0"
"11/01/2024 02.45 AM";"0";"100";"271";"171";"0";"0"
"11/01/2024 03.00 AM";"0";"155";"324";"170";"0";"0"
"11/01/2024 03.15 AM";"0";"135";"249";"114";"0";"0"
"11/01/2024 03.30 AM";"0";"80";"167";"87";"0";"0"
"11/01/2024 03.45 AM";"0";"101";"188";"86";"0";"0"
"11/01/2024 04.00 AM";"0";"156";"243";"87";"0";"0"
"11/01/2024 04.15 AM";"0";"133";"220";"87";"0";"0"
"11/01/2024 04.30 AM";"0";"194";"276";"82";"0";"0"
"11/01/2024 04.45 AM";"0";"3,402";"3,578";"176";"0";"0"
"11/01/2024 05.00 AM";"0";"3,962";"4,160";"199";"0";"0"
"11/01/2024 05.15 AM";"0";"4,079";"4,275";"196";"0";"0"
"11/01/2024 05.30 AM";"0";"1,376";"1,561";"184";"0";"0"
"11/01/2024 05.45 AM";"0";"80";"247";"167";"0";"0"
"11/01/2024 06.00 AM";"0";"130";"225";"96";"0";"0"
"11/01/2024 06.15 AM";"0";"154";"240";"86";"0";"0"
"11/01/2024 06.30 AM";"0";"101";"187";"86";"0";"0"
"11/01/2024 06.45 AM";"0";"80";"168";"88";"0";"0"
"11/01/2024 07.00 AM";"0";"132";"220";"88";"0";"0"
"11/01/2024 07.15 AM";"0";"155";"243";"88";"0";"0"
"11/01/2024 07.30 AM";"0";"100";"376";"276";"0";"0"
"11/01/2024 07.45 AM";"0";"1,008";"1,309";"301";"0";"0"
"11/01/2024 08.00 AM";"0";"3,752";"4,080";"328";"68";"68"
"11/01/2024 08.15 AM";"0";"4,020";"4,353";"333";"154";"154"
"11/01/2024 08.30 AM";"0";"4,121";"4,503";"382";"209";"209"
"11/01/2024 08.45 AM";"0";"86";"330";"244";"300";"300"
"11/01/2024 09.00 AM";"0";"81";"911";"830";"375";"375"
"11/01/2024 09.15 AM";"0";"151";"669";"517";"490";"490"
"11/01/2024 09.30 AM";"0";"152";"509";"357";"559";"559"
"11/01/2024 09.45 AM";"0";"78";"430";"351";"606";"606"
"11/01/2024 10.00 AM";"0";"80";"379";"299";"605";"605"
"11/01/2024 10.15 AM";"0";"153";"482";"330";"629";"629"
"11/01/2024 10.30 AM";"0";"152";"452";"300";"668";"668"
"11/01/2024 10.45 AM";"389";"78";"942";"475";"688";"688"
"11/01/2024 11.00 AM";"279";"83";"599";"237";"765";"765"
"11/01/2024 11.15 AM";"0";"155";"385";"230";"830";"830"
"11/01/2024 11.30 AM";"0";"150";"853";"703";"970";"970"
"11/01/2024 11.45 AM";"0";"79";"899";"820";"891";"891"
"11/01/2024 12.00 PM";"0";"3,916";"4,244";"329";"794";"794"
"11/01/2024 12.15 PM";"0";"5,589";"5,831";"242";"879";"879"
"11/01/2024 12.30 PM";"0";"4,346";"7,513";"3,167";"1,010";"1,010"
"11/01/2024 12.45 PM";"0";"2,409";"4,191";"1,782";"1,017";"1,017"
"11/01/2024 01.00 PM";"0";"80";"306";"226";"1,116";"1,116"
"11/01/2024 01.15 PM";"0";"109";"306";"197";"1,093";"1,093"
"11/01/2024 01.30 PM";"0";"153";"481";"328";"1,217";"1,217"
"11/01/2024 01.45 PM";"0";"120";"557";"436";"1,334";"1,334"
"11/01/2024 02.00 PM";"0";"79";"253";"174";"1,234";"1,234"
"11/01/2024 02.15 PM";"0";"113";"322";"209";"1,050";"1,050"
"11/01/2024 02.30 PM";"0";"157";"1,119";"963";"1,005";"1,005"
"11/01/2024 02.45 PM";"0";"122";"910";"788";"904";"904"
"11/01/2024 03.00 PM";"0";"81";"630";"550";"902";"902"
"11/01/2024 03.15 PM";"0";"116";"415";"299";"791";"791"
"11/01/2024 03.30 PM";"0";"157";"1,625";"1,468";"667";"667"
"11/01/2024 03.45 PM";"0";"119";"2,547";"2,428";"625";"625"
"11/01/2024 04.00 PM";"0";"1,070";"2,627";"1,558";"446";"446"
"11/01/2024 04.15 PM";"0";"3,667";"4,919";"1,252";"344";"344"
"11/01/2024 04.30 PM";"0";"3,967";"5,078";"1,111";"198";"198"
"11/01/2024 04.45 PM";"0";"4,088";"5,141";"1,053";"79";"79"
"11/01/2024 05.00 PM";"0";"99";"2,659";"2,560";"9";"9"
"11/01/2024 05.15 PM";"0";"80";"1,464";"1,384";"0";"0"
"11/01/2024 05.30 PM";"0";"153";"1,710";"1,557";"0";"0"
"11/01/2024 05.45 PM";"0";"154";"1,713";"1,559";"0";"0"
"11/01/2024 06.00 PM";"0";"80";"932";"852";"0";"0"
"11/01/2024 06.15 PM";"0";"82";"390";"308";"0";"0"
"11/01/2024 06.30 PM";"0";"172";"474";"302";"0";"0"
"11/01/2024 06.45 PM";"0";"1,318";"1,669";"351";"0";"0"
"11/01/2024 07.00 PM";"0";"144";"635";"491";"0";"0"
"11/01/2024 07.15 PM";"0";"3,119";"3,862";"744";"0";"0"
"11/01/2024 07.30 PM";"0";"4,039";"4,462";"423";"0";"0"
"11/01/2024 07.45 PM";"0";"4,117";"4,379";"262";"0";"0"
"11/01/2024 08.00 PM";"0";"3,614";"3,840";"226";"0";"0"
"11/01/2024 08.15 PM";"0";"128";"369";"241";"0";"0"
"11/01/2024 08.30 PM";"0";"1,420";"1,624";"203";"0";"0"
"11/01/2024 08.45 PM";"0";"1,313";"1,607";"294";"0";"0"
"11/01/2024 09.00 PM";"0";"147";"1,183";"1,036";"0";"0"
"11/01/2024 09.15 PM";"0";"85";"728";"643";"0";"0"
"11/01/2024 09.30 PM";"0";"98";"836";"738";"0";"0"
"11/01/2024 09.45 PM";"0";"2,861";"3,350";"489";"0";"0"
"11/01/2024 10.00 PM";"0";"3,998";"4,380";"382";"0";"0"
"11/01/2024 10.15 PM";"0";"4,123";"4,466";"343";"0";"0"
"11/01/2024 10.30 PM";"0";"163";"390";"227";"0";"0"
"11/01/2024 10.45 PM";"0";"80";"262";"182";"0";"0"
"11/01/2024 11.00 PM";"0";"152";"330";"178";"0";"0"
"11/01/2024 11.15 PM";"0";"154";"330";"176";"0";"0"
"11/01/2024 11.30 PM";"0";"81";"279";"198";"0";"0"
"11/01/2024 11.45 PM";"0";"80";"349";"269";"0";"0"
"11/02/2024 12.00 AM";"0";"153";"418";"266";"0";"0"
