sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:05";;;;;
"Export UTC date";"2024-12-29T09:16:05.835Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/25/2024 12.15 AM";"-";"153";"338";"185";"0";"0"
"10/25/2024 12.30 AM";"-";"134";"310";"176";"0";"0"
"10/25/2024 12.45 AM";"-";"78";"251";"173";"0";"0"
"10/25/2024 01.00 AM";"-";"98";"259";"161";"0";"0"
"10/25/2024 01.15 AM";"-";"154";"242";"87";"0";"0"
"10/25/2024 01.30 AM";"-";"134";"221";"88";"0";"0"
"10/25/2024 01.45 AM";"-";"79";"166";"88";"0";"0"
"10/25/2024 02.00 AM";"-";"101";"189";"88";"0";"0"
"10/25/2024 02.15 AM";"-";"156";"268";"112";"0";"0"
"10/25/2024 02.30 AM";"-";"132";"314";"181";"0";"0"
"10/25/2024 02.45 AM";"-";"78";"256";"178";"0";"0"
"10/25/2024 03.00 AM";"-";"103";"276";"173";"0";"0"
"10/25/2024 03.15 AM";"-";"156";"325";"169";"0";"0"
"10/25/2024 03.30 AM";"-";"131";"219";"88";"0";"0"
"10/25/2024 03.45 AM";"-";"78";"165";"87";"0";"0"
"10/25/2024 04.00 AM";"-";"104";"191";"87";"0";"0"
"10/25/2024 04.15 AM";"-";"156";"243";"87";"0";"0"
"10/25/2024 04.30 AM";"-";"2,088";"2,177";"89";"0";"0"
"10/25/2024 04.45 AM";"-";"3,764";"3,966";"201";"0";"0"
"10/25/2024 05.00 AM";"-";"3,965";"4,162";"197";"0";"0"
"10/25/2024 05.15 AM";"-";"3,862";"4,067";"205";"0";"0"
"10/25/2024 05.30 AM";"-";"82";"252";"171";"0";"0"
"10/25/2024 05.45 AM";"-";"82";"251";"169";"0";"0"
"10/25/2024 06.00 AM";"-";"150";"268";"117";"0";"0"
"10/25/2024 06.15 AM";"-";"149";"238";"89";"0";"0"
"10/25/2024 06.30 AM";"-";"79";"168";"89";"0";"0"
"10/25/2024 06.45 AM";"-";"85";"174";"89";"0";"0"
"10/25/2024 07.00 AM";"-";"154";"337";"183";"0";"0"
"10/25/2024 07.15 AM";"-";"147";"506";"358";"0";"0"
"10/25/2024 07.30 AM";"-";"79";"385";"306";"0";"0"
"10/25/2024 07.45 AM";"-";"87";"261";"174";"0";"0"
"10/25/2024 08.00 AM";"-";"154";"322";"168";"0";"0"
"10/25/2024 08.15 AM";"-";"146";"233";"87";"0";"0"
"10/25/2024 08.30 AM";"-";"78";"162";"84";"0";"0"
"10/25/2024 08.45 AM";"-";"88";"177";"89";"122";"122"
"10/25/2024 09.00 AM";"-";"155";"726";"571";"222";"222"
"10/25/2024 09.15 AM";"-";"145";"763";"618";"329";"329"
"10/25/2024 09.30 AM";"-";"78";"536";"458";"471";"471"
"10/25/2024 09.45 AM";"-";"89";"409";"319";"623";"623"
"10/25/2024 10.00 AM";"-";"2,973";"3,412";"439";"784";"784"
"10/25/2024 10.15 AM";"-";"4,641";"5,005";"364";"734";"734"
"10/25/2024 10.30 AM";"-";"5,303";"5,703";"400";"788";"788"
"10/25/2024 10.45 AM";"-";"3,855";"4,230";"375";"818";"818"
"10/25/2024 11.00 AM";"-";"804";"948";"144";"960";"960"
"10/25/2024 11.15 AM";"-";"154";"240";"85";"1,272";"1,272"
"10/25/2024 11.30 AM";"-";"199";"296";"97";"1,348";"1,348"
"10/25/2024 11.45 AM";"-";"1,690";"1,875";"185";"1,683";"1,683"
"10/25/2024 12.00 PM";"-";"283";"465";"182";"1,812";"1,812"
"10/25/2024 12.15 PM";"-";"100";"272";"172";"1,735";"1,735"
"10/25/2024 12.30 PM";"-";"157";"322";"165";"1,638";"1,638"
"10/25/2024 12.45 PM";"-";"135";"240";"105";"1,852";"1,852"
"10/25/2024 01.00 PM";"-";"78";"155";"77";"2,108";"2,108"
"10/25/2024 01.15 PM";"-";"99";"1,516";"1,418";"2,325";"2,325"
"10/25/2024 01.30 PM";"-";"156";"867";"711";"2,464";"2,464"
"10/25/2024 01.45 PM";"-";"135";"3,397";"3,262";"2,148";"2,148"
"10/25/2024 02.00 PM";"-";"78";"2,726";"2,648";"2,330";"2,330"
"10/25/2024 02.15 PM";"-";"101";"2,387";"2,286";"2,295";"2,295"
"10/25/2024 02.30 PM";"-";"156";"1,648";"1,492";"2,489";"2,489"
"10/25/2024 02.45 PM";"-";"133";"989";"856";"2,205";"2,205"
"10/25/2024 03.00 PM";"-";"79";"375";"296";"2,117";"2,117"
"10/25/2024 03.15 PM";"-";"103";"300";"197";"2,588";"2,588"
"10/25/2024 03.30 PM";"-";"571";"736";"165";"3,387";"3,387"
"10/25/2024 03.45 PM";"-";"3,434";"4,112";"677";"2,531";"2,531"
"10/25/2024 04.00 PM";"-";"4,007";"6,137";"2,129";"2,799";"2,799"
"10/25/2024 04.15 PM";"-";"969";"1,603";"634";"1,163";"1,163"
"10/25/2024 04.30 PM";"-";"79";"425";"346";"936";"936"
"10/25/2024 04.45 PM";"-";"136";"529";"394";"3,344";"3,344"
"10/25/2024 05.00 PM";"-";"155";"592";"438";"1,248";"1,248"
"10/25/2024 05.15 PM";"-";"94";"664";"570";"611";"611"
"10/25/2024 05.30 PM";"-";"78";"413";"335";"409";"409"
"10/25/2024 05.45 PM";"-";"138";"314";"176";"240";"240"
"10/25/2024 06.00 PM";"-";"155";"342";"187";"99";"99"
"10/25/2024 06.15 PM";"-";"92";"425";"333";"7";"7"
"10/25/2024 06.30 PM";"-";"78";"405";"327";"0";"0"
"10/25/2024 06.45 PM";"-";"139";"342";"203";"0";"0"
"10/25/2024 07.00 PM";"-";"155";"375";"220";"0";"0"
"10/25/2024 07.15 PM";"-";"90";"347";"257";"0";"0"
"10/25/2024 07.30 PM";"-";"78";"269";"191";"0";"0"
"10/25/2024 07.45 PM";"-";"143";"415";"271";"0";"0"
"10/25/2024 08.00 PM";"-";"158";"428";"270";"0";"0"
"10/25/2024 08.15 PM";"-";"2,943";"3,642";"699";"0";"0"
"10/25/2024 08.30 PM";"-";"3,826";"5,011";"1,185";"0";"0"
"10/25/2024 08.45 PM";"-";"4,000";"4,508";"509";"0";"0"
"10/25/2024 09.00 PM";"-";"3,871";"4,292";"421";"0";"0"
"10/25/2024 09.15 PM";"-";"84";"425";"341";"0";"0"
"10/25/2024 09.30 PM";"-";"85";"390";"305";"0";"0"
"10/25/2024 09.45 PM";"-";"153";"332";"179";"0";"0"
"10/25/2024 10.00 PM";"-";"149";"290";"141";"0";"0"
"10/25/2024 10.15 PM";"-";"79";"235";"155";"0";"0"
"10/25/2024 10.30 PM";"-";"86";"308";"222";"0";"0"
"10/25/2024 10.45 PM";"-";"154";"372";"218";"0";"0"
"10/25/2024 11.00 PM";"-";"148";"362";"213";"0";"0"
"10/25/2024 11.15 PM";"-";"78";"253";"174";"0";"0"
"10/25/2024 11.30 PM";"-";"87";"216";"130";"0";"0"
"10/25/2024 11.45 PM";"-";"155";"290";"135";"0";"0"
"10/26/2024 12.00 AM";"-";"148";"280";"132";"0";"0"
