sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:01";;;;
"Export UTC date";"2024-12-29T09:15:01.728Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"09/20/2024 12.15 AM";"-";"457";"457";"0";"0"
"09/20/2024 12.30 AM";"-";"458";"458";"0";"0"
"09/20/2024 12.45 AM";"-";"436";"436";"0";"0"
"09/20/2024 01.00 AM";"-";"271";"271";"0";"0"
"09/20/2024 01.15 AM";"-";"294";"294";"0";"0"
"09/20/2024 01.30 AM";"-";"250";"250";"0";"0"
"09/20/2024 01.45 AM";"-";"272";"272";"0";"0"
"09/20/2024 02.00 AM";"-";"1,758";"1,758";"0";"0"
"09/20/2024 02.15 AM";"-";"3,837";"3,837";"0";"0"
"09/20/2024 02.30 AM";"-";"4,042";"4,042";"0";"0"
"09/20/2024 02.45 AM";"-";"3,620";"3,620";"0";"0"
"09/20/2024 03.00 AM";"-";"227";"227";"0";"0"
"09/20/2024 03.15 AM";"-";"171";"171";"0";"0"
"09/20/2024 03.30 AM";"-";"234";"234";"0";"0"
"09/20/2024 03.45 AM";"-";"224";"224";"0";"0"
"09/20/2024 04.00 AM";"-";"159";"159";"0";"0"
"09/20/2024 04.15 AM";"-";"172";"172";"0";"0"
"09/20/2024 04.30 AM";"-";"235";"235";"0";"0"
"09/20/2024 04.45 AM";"-";"307";"307";"0";"0"
"09/20/2024 05.00 AM";"-";"247";"247";"0";"0"
"09/20/2024 05.15 AM";"-";"257";"257";"0";"0"
"09/20/2024 05.30 AM";"-";"316";"316";"0";"0"
"09/20/2024 05.45 AM";"-";"299";"299";"0";"0"
"09/20/2024 06.00 AM";"-";"236";"236";"0";"0"
"09/20/2024 06.15 AM";"-";"301";"301";"0";"0"
"09/20/2024 06.30 AM";"-";"466";"466";"0";"0"
"09/20/2024 06.45 AM";"-";"490";"490";"0";"0"
"09/20/2024 07.00 AM";"-";"326";"326";"0";"0"
"09/20/2024 07.15 AM";"99";"318";"219";"47";"47"
"09/20/2024 07.30 AM";"149";"382";"233";"243";"243"
"09/20/2024 07.45 AM";"130";"662";"533";"536";"536"
"09/20/2024 08.00 AM";"72";"1,039";"967";"1,696";"1,696"
"09/20/2024 08.15 AM";"893";"1,344";"451";"2,264";"2,264"
"09/20/2024 08.30 AM";"3,501";"3,991";"490";"2,818";"2,818"
"09/20/2024 08.45 AM";"3,799";"4,268";"469";"3,287";"3,287"
"09/20/2024 09.00 AM";"3,659";"4,128";"469";"3,485";"3,485"
"09/20/2024 09.15 AM";"735";"2,994";"2,259";"3,785";"3,785"
"09/20/2024 09.30 AM";"27";"3,083";"3,056";"4,602";"4,602"
"09/20/2024 09.45 AM";"882";"3,952";"3,070";"5,038";"5,038"
"09/20/2024 10.00 AM";"4,001";"6,971";"2,969";"5,375";"5,375"
"09/20/2024 10.15 AM";"521";"2,355";"1,835";"5,705";"5,705"
"09/20/2024 10.30 AM";"31";"2,958";"2,927";"5,990";"5,990"
"09/20/2024 10.45 AM";"93";"2,986";"2,893";"6,242";"6,242"
"09/20/2024 11.00 AM";"104";"1,978";"1,874";"6,420";"6,420"
"09/20/2024 11.15 AM";"33";"3,041";"3,007";"6,592";"6,592"
"09/20/2024 11.30 AM";"27";"3,024";"2,997";"6,720";"6,720"
"09/20/2024 11.45 AM";"98";"2,976";"2,878";"7,012";"7,012"
"09/20/2024 12.00 PM";"33";"2,926";"2,893";"7,334";"7,334"
"09/20/2024 12.15 PM";"27";"2,923";"2,895";"7,627";"7,627"
"09/20/2024 12.30 PM";"101";"3,043";"2,942";"7,876";"7,876"
"09/20/2024 12.45 PM";"32";"3,068";"3,036";"8,144";"8,144"
"09/20/2024 01.00 PM";"27";"3,225";"3,198";"8,319";"8,319"
"09/20/2024 01.15 PM";"104";"3,313";"3,209";"8,434";"8,434"
"09/20/2024 01.30 PM";"30";"2,962";"2,933";"8,526";"8,526"
"09/20/2024 01.45 PM";"27";"2,971";"2,944";"8,566";"8,566"
"09/20/2024 02.00 PM";"105";"3,037";"2,931";"8,597";"8,597"
"09/20/2024 02.15 PM";"28";"2,884";"2,855";"8,513";"8,513"
"09/20/2024 02.30 PM";"27";"2,893";"2,866";"8,409";"8,409"
"09/20/2024 02.45 PM";"107";"2,920";"2,813";"8,305";"8,305"
"09/20/2024 03.00 PM";"27";"2,846";"2,819";"8,165";"8,165"
"09/20/2024 03.15 PM";"27";"2,925";"2,898";"7,854";"7,854"
"09/20/2024 03.30 PM";"106";"3,011";"2,905";"7,492";"7,492"
"09/20/2024 03.45 PM";"27";"2,938";"2,911";"7,136";"7,136"
"09/20/2024 04.00 PM";"29";"2,935";"2,907";"6,777";"6,777"
"09/20/2024 04.15 PM";"105";"3,010";"2,905";"6,477";"6,477"
"09/20/2024 04.30 PM";"27";"2,934";"2,907";"6,236";"6,236"
"09/20/2024 04.45 PM";"30";"2,946";"2,916";"5,779";"5,779"
"09/20/2024 05.00 PM";"102";"3,020";"2,918";"5,952";"5,952"
"09/20/2024 05.15 PM";"27";"2,874";"2,847";"5,383";"5,383"
"09/20/2024 05.30 PM";"32";"2,874";"2,842";"5,272";"5,272"
"09/20/2024 05.45 PM";"101";"1,813";"1,711";"4,879";"4,879"
"09/20/2024 06.00 PM";"27";"1,641";"1,614";"3,425";"3,425"
"09/20/2024 06.15 PM";"33";"343";"310";"760";"760"
"09/20/2024 06.30 PM";"100";"260";"160";"496";"496"
"09/20/2024 06.45 PM";"27";"204";"177";"372";"372"
"09/20/2024 07.00 PM";"34";"211";"177";"340";"340"
"09/20/2024 07.15 PM";"108";"686";"578";"93";"93"
"09/20/2024 07.30 PM";"100";"379";"278";"9";"9"
"09/20/2024 07.45 PM";"27";"406";"379";"0";"0"
"09/20/2024 08.00 PM";"63";"345";"281";"0";"0"
"09/20/2024 08.15 PM";"146";"505";"359";"0";"0"
"09/20/2024 08.30 PM";"-";"348";"348";"0";"0"
"09/20/2024 08.45 PM";"66";"252";"186";"0";"0"
"09/20/2024 09.00 PM";"76";"185";"109";"0";"0"
"09/20/2024 09.15 PM";"146";"247";"102";"0";"0"
"09/20/2024 09.30 PM";"-";"269";"269";"0";"0"
"09/20/2024 09.45 PM";"-";"299";"299";"0";"0"
"09/20/2024 10.00 PM";"-";"363";"363";"0";"0"
"09/20/2024 10.15 PM";"-";"473";"473";"0";"0"
"09/20/2024 10.30 PM";"133";"451";"318";"0";"0"
"09/20/2024 10.45 PM";"66";"375";"309";"0";"0"
"09/20/2024 11.00 PM";"80";"365";"285";"0";"0"
"09/20/2024 11.15 PM";"146";"313";"166";"0";"0"
"09/20/2024 11.30 PM";"131";"294";"163";"0";"0"
"09/20/2024 11.45 PM";"65";"226";"161";"0";"0"
"09/21/2024 12.00 AM";"81";"203";"122";"0";"0"
"09/21/2024 12.15 AM";"145";"228";"83";"0";"0"
"09/21/2024 12.30 AM";"129";"211";"82";"0";"0"
"09/21/2024 12.45 AM";"65";"147";"82";"0";"0"
"09/21/2024 01.00 AM";"83";"165";"82";"0";"0"
"09/21/2024 01.15 AM";"146";"246";"100";"0";"0"
