sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:17:02";;;;;
"Export UTC date";"2024-12-29T09:17:02.314Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/29/2024 12.15 AM";"0";"29";"210";"181";"0";"0"
"11/29/2024 12.30 AM";"0";"31";"208";"178";"0";"0"
"11/29/2024 12.45 AM";"0";"103";"278";"175";"0";"0"
"11/29/2024 01.00 AM";"0";"97";"278";"181";"0";"0"
"11/29/2024 01.15 AM";"0";"29";"121";"92";"0";"0"
"11/29/2024 01.30 AM";"0";"32";"125";"93";"0";"0"
"11/29/2024 01.45 AM";"0";"104";"197";"93";"0";"0"
"11/29/2024 02.00 AM";"0";"101";"194";"93";"0";"0"
"11/29/2024 02.15 AM";"0";"29";"122";"93";"0";"0"
"11/29/2024 02.30 AM";"0";"34";"179";"145";"0";"0"
"11/29/2024 02.45 AM";"0";"105";"286";"181";"0";"0"
"11/29/2024 03.00 AM";"0";"100";"278";"179";"0";"0"
"11/29/2024 03.15 AM";"0";"29";"204";"175";"0";"0"
"11/29/2024 03.30 AM";"0";"36";"202";"166";"0";"0"
"11/29/2024 03.45 AM";"0";"106";"199";"93";"0";"0"
"11/29/2024 04.00 AM";"0";"99";"192";"93";"0";"0"
"11/29/2024 04.15 AM";"0";"91";"185";"93";"0";"0"
"11/29/2024 04.30 AM";"0";"100";"194";"94";"0";"0"
"11/29/2024 04.45 AM";"0";"167";"260";"93";"0";"0"
"11/29/2024 05.00 AM";"0";"157";"263";"106";"0";"0"
"11/29/2024 05.15 AM";"0";"3,335";"3,527";"193";"0";"0"
"11/29/2024 05.30 AM";"0";"5,403";"5,597";"194";"0";"0"
"11/29/2024 05.45 AM";"0";"5,637";"5,830";"193";"0";"0"
"11/29/2024 06.00 AM";"0";"5,781";"5,970";"188";"0";"0"
"11/29/2024 06.15 AM";"0";"2,551";"2,684";"133";"0";"0"
"11/29/2024 06.30 AM";"0";"5,681";"5,798";"116";"0";"0"
"11/29/2024 06.45 AM";"0";"3,250";"3,481";"231";"0";"0"
"11/29/2024 07.00 AM";"0";"89";"465";"376";"0";"0"
"11/29/2024 07.15 AM";"21";"61";"387";"305";"0";"0"
"11/29/2024 07.30 AM";"257";"100";"1,223";"866";"0";"0"
"11/29/2024 07.45 AM";"0";"66";"411";"345";"0";"0"
"11/29/2024 08.00 AM";"0";"29";"614";"585";"0";"0"
"11/29/2024 08.15 AM";"0";"64";"451";"388";"10";"10"
"11/29/2024 08.30 AM";"0";"101";"451";"349";"167";"167"
"11/29/2024 08.45 AM";"0";"64";"647";"583";"293";"293"
"11/29/2024 09.00 AM";"0";"29";"331";"302";"453";"453"
"11/29/2024 09.15 AM";"0";"67";"784";"717";"530";"530"
"11/29/2024 09.30 AM";"0";"105";"457";"352";"535";"535"
"11/29/2024 09.45 AM";"44";"65";"864";"755";"977";"977"
"11/29/2024 10.00 AM";"782";"29";"981";"170";"1,432";"1,432"
"11/29/2024 10.15 AM";"500";"131";"721";"90";"2,159";"2,159"
"11/29/2024 10.30 AM";"329";"167";"579";"82";"1,289";"1,289"
"11/29/2024 10.45 AM";"228";"378";"680";"74";"1,428";"1,428"
"11/29/2024 11.00 AM";"0";"3,395";"3,489";"94";"1,471";"1,471"
"11/29/2024 11.15 AM";"0";"3,884";"4,048";"164";"1,174";"1,174"
"11/29/2024 11.30 AM";"0";"4,050";"4,230";"180";"1,045";"1,045"
"11/29/2024 11.45 AM";"145";"4,154";"4,472";"173";"1,375";"1,375"
"11/29/2024 12.00 PM";"458";"593";"1,227";"177";"2,077";"2,077"
"11/29/2024 12.15 PM";"392";"87";"576";"97";"1,431";"1,431"
"11/29/2024 12.30 PM";"299";"150";"535";"86";"1,079";"1,079"
"11/29/2024 12.45 PM";"261";"161";"508";"86";"1,188";"1,188"
"11/29/2024 01.00 PM";"244";"95";"419";"80";"1,278";"1,278"
"11/29/2024 01.15 PM";"280";"88";"449";"82";"1,170";"1,170"
"11/29/2024 01.30 PM";"253";"154";"590";"183";"1,149";"1,149"
"11/29/2024 01.45 PM";"245";"164";"576";"167";"1,094";"1,094"
"11/29/2024 02.00 PM";"168";"1,692";"2,029";"169";"831";"831"
"11/29/2024 02.15 PM";"0";"3,700";"3,872";"172";"780";"780"
"11/29/2024 02.30 PM";"0";"3,902";"3,996";"94";"884";"884"
"11/29/2024 02.45 PM";"0";"4,015";"4,462";"447";"774";"774"
"11/29/2024 03.00 PM";"0";"3,094";"3,407";"313";"677";"677"
"11/29/2024 03.15 PM";"0";"89";"291";"202";"425";"425"
"11/29/2024 03.30 PM";"269";"105";"674";"301";"208";"208"
"11/29/2024 03.45 PM";"0";"276";"562";"286";"98";"98"
"11/29/2024 04.00 PM";"0";"1,219";"1,637";"418";"41";"41"
"11/29/2024 04.15 PM";"0";"92";"290";"198";"0";"0"
"11/29/2024 04.30 PM";"0";"111";"220";"110";"0";"0"
"11/29/2024 04.45 PM";"0";"163";"266";"103";"0";"0"
"11/29/2024 05.00 PM";"0";"143";"249";"106";"0";"0"
"11/29/2024 05.15 PM";"0";"92";"194";"103";"0";"0"
"11/29/2024 05.30 PM";"0";"113";"215";"101";"0";"0"
"11/29/2024 05.45 PM";"0";"2,956";"3,127";"171";"0";"0"
"11/29/2024 06.00 PM";"0";"5,375";"5,752";"378";"0";"0"
"11/29/2024 06.15 PM";"0";"5,604";"6,020";"416";"0";"0"
"11/29/2024 06.30 PM";"0";"5,732";"6,189";"457";"0";"0"
"11/29/2024 06.45 PM";"0";"5,874";"4,072";"0";"0";"0"
"11/29/2024 07.00 PM";"-";"-";"5,293";"5,293";"-";"-"
"11/29/2024 07.15 PM";"-";"-";"4,801";"4,801";"-";"-"
"11/29/2024 07.30 PM";"-";"-";"1,551";"1,551";"-";"-"
"11/29/2024 07.45 PM";"-";"-";"891";"891";"-";"-"
"11/29/2024 08.00 PM";"-";"-";"631";"631";"-";"-"
"11/29/2024 08.15 PM";"-";"-";"455";"455";"-";"-"
"11/29/2024 08.30 PM";"-";"-";"371";"371";"-";"-"
"11/29/2024 08.45 PM";"-";"-";"825";"825";"-";"-"
"11/29/2024 09.00 PM";"-";"-";"4,547";"4,547";"-";"-"
"11/29/2024 09.15 PM";"-";"-";"7,817";"7,817";"-";"-"
"11/29/2024 09.30 PM";"-";"-";"6,460";"6,460";"-";"-"
"11/29/2024 09.45 PM";"-";"-";"3,726";"3,726";"-";"-"
"11/29/2024 10.00 PM";"-";"-";"5,123";"5,123";"-";"-"
"11/29/2024 10.15 PM";"-";"-";"6,286";"6,286";"-";"-"
"11/29/2024 10.30 PM";"-";"-";"6,381";"6,381";"-";"-"
"11/29/2024 10.45 PM";"-";"-";"3,754";"3,754";"-";"-"
"11/29/2024 11.00 PM";"-";"-";"509";"509";"-";"-"
"11/29/2024 11.15 PM";"-";"-";"428";"428";"-";"-"
"11/29/2024 11.30 PM";"-";"-";"433";"433";"-";"-"
"11/29/2024 11.45 PM";"0";"66";"382";"316";"0";"0"
