sep=;
"Version";"4";;;
"Language";"en-US";;;
"Local export date";"29.12.2024 10:14:07";;;
"Export UTC date";"2024-12-29T09:14:07.951Z";;;
"Time zone";"Europe/Berlin";;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;
"Time period";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"08/30/2024 12.15 AM";"274";"274";"0";"0"
"08/30/2024 12.30 AM";"232";"232";"0";"0"
"08/30/2024 12.45 AM";"193";"193";"0";"0"
"08/30/2024 01.00 AM";"233";"233";"0";"0"
"08/30/2024 01.15 AM";"274";"274";"0";"0"
"08/30/2024 01.30 AM";"230";"230";"0";"0"
"08/30/2024 01.45 AM";"110";"110";"0";"0"
"08/30/2024 02.00 AM";"154";"154";"0";"0"
"08/30/2024 02.15 AM";"193";"193";"0";"0"
"08/30/2024 02.30 AM";"147";"147";"0";"0"
"08/30/2024 02.45 AM";"111";"111";"0";"0"
"08/30/2024 03.00 AM";"228";"228";"0";"0"
"08/30/2024 03.15 AM";"283";"283";"0";"0"
"08/30/2024 03.30 AM";"231";"231";"0";"0"
"08/30/2024 03.45 AM";"197";"197";"0";"0"
"08/30/2024 04.00 AM";"239";"239";"0";"0"
"08/30/2024 04.15 AM";"273";"273";"0";"0"
"08/30/2024 04.30 AM";"223";"223";"0";"0"
"08/30/2024 04.45 AM";"190";"190";"0";"0"
"08/30/2024 05.00 AM";"237";"237";"0";"0"
"08/30/2024 05.15 AM";"269";"269";"0";"0"
"08/30/2024 05.30 AM";"196";"196";"0";"0"
"08/30/2024 05.45 AM";"111";"111";"0";"0"
"08/30/2024 06.00 AM";"164";"164";"0";"0"
"08/30/2024 06.15 AM";"195";"195";"0";"0"
"08/30/2024 06.30 AM";"181";"181";"0";"0"
"08/30/2024 06.45 AM";"990";"990";"85";"85"
"08/30/2024 07.00 AM";"986";"986";"389";"389"
"08/30/2024 07.15 AM";"707";"707";"887";"887"
"08/30/2024 07.30 AM";"1,015";"1,015";"1,862";"1,862"
"08/30/2024 07.45 AM";"586";"586";"2,028";"2,028"
"08/30/2024 08.00 AM";"436";"436";"1,697";"1,697"
"08/30/2024 08.15 AM";"410";"410";"2,072";"2,072"
"08/30/2024 08.30 AM";"355";"355";"2,455";"2,455"
"08/30/2024 08.45 AM";"1,013";"1,013";"3,009";"3,009"
"08/30/2024 09.00 AM";"2,214";"2,214";"2,873";"2,873"
"08/30/2024 09.15 AM";"1,986";"1,986";"3,604";"3,604"
"08/30/2024 09.30 AM";"2,442";"2,442";"4,056";"4,056"
"08/30/2024 09.45 AM";"3,431";"3,431";"4,539";"4,539"
"08/30/2024 10.00 AM";"4,087";"4,087";"5,395";"5,395"
"08/30/2024 10.15 AM";"3,698";"3,698";"3,653";"3,653"
"08/30/2024 10.30 AM";"2,533";"2,533";"3,295";"3,295"
"08/30/2024 10.45 AM";"3,198";"3,198";"4,023";"4,023"
"08/30/2024 11.00 AM";"3,122";"3,122";"5,276";"5,276"
"08/30/2024 11.15 AM";"3,189";"3,189";"6,937";"6,937"
"08/30/2024 11.30 AM";"3,199";"3,199";"7,741";"7,741"
"08/30/2024 11.45 AM";"3,272";"3,272";"8,133";"8,133"
"08/30/2024 12.00 PM";"3,340";"3,340";"8,485";"8,485"
"08/30/2024 12.15 PM";"3,379";"3,379";"8,356";"8,356"
"08/30/2024 12.30 PM";"3,197";"3,197";"8,596";"8,596"
"08/30/2024 12.45 PM";"3,473";"3,473";"8,231";"8,231"
"08/30/2024 01.00 PM";"3,223";"3,223";"8,543";"8,543"
"08/30/2024 01.15 PM";"3,185";"3,185";"8,491";"8,491"
"08/30/2024 01.30 PM";"3,312";"3,312";"8,762";"8,762"
"08/30/2024 01.45 PM";"648";"648";"9,116";"9,116"
"08/30/2024 02.00 PM";"200";"200";"9,042";"9,042"
"08/30/2024 02.15 PM";"265";"265";"8,523";"8,523"
"08/30/2024 02.30 PM";"192";"192";"8,369";"8,369"
"08/30/2024 02.45 PM";"208";"208";"6,155";"6,155"
"08/30/2024 03.00 PM";"220";"220";"8,888";"8,888"
"08/30/2024 03.15 PM";"285";"285";"8,568";"8,568"
"08/30/2024 03.30 PM";"165";"165";"7,801";"7,801"
"08/30/2024 03.45 PM";"290";"290";"6,622";"6,622"
"08/30/2024 04.00 PM";"258";"258";"4,904";"4,904"
"08/30/2024 04.15 PM";"259";"259";"5,825";"5,825"
"08/30/2024 04.30 PM";"1,634";"1,634";"6,768";"6,768"
"08/30/2024 04.45 PM";"1,470";"1,470";"7,245";"7,245"
"08/30/2024 05.00 PM";"1,367";"1,367";"6,045";"6,045"
"08/30/2024 05.15 PM";"2,272";"2,272";"6,203";"6,203"
"08/30/2024 05.30 PM";"4,099";"4,099";"5,353";"5,353"
"08/30/2024 05.45 PM";"3,955";"3,955";"4,278";"4,278"
"08/30/2024 06.00 PM";"1,879";"1,879";"2,864";"2,864"
"08/30/2024 06.15 PM";"213";"213";"1,799";"1,799"
"08/30/2024 06.30 PM";"244";"244";"1,761";"1,761"
"08/30/2024 06.45 PM";"256";"256";"1,912";"1,912"
"08/30/2024 07.00 PM";"234";"234";"1,203";"1,203"
"08/30/2024 07.15 PM";"270";"270";"546";"546"
"08/30/2024 07.30 PM";"232";"232";"342";"342"
"08/30/2024 07.45 PM";"398";"398";"188";"188"
"08/30/2024 08.00 PM";"417";"417";"50";"50"
"08/30/2024 08.15 PM";"443";"443";"0";"0"
"08/30/2024 08.30 PM";"462";"462";"0";"0"
"08/30/2024 08.45 PM";"538";"538";"0";"0"
"08/30/2024 09.00 PM";"523";"523";"0";"0"
"08/30/2024 09.15 PM";"357";"357";"0";"0"
"08/30/2024 09.30 PM";"398";"398";"0";"0"
"08/30/2024 09.45 PM";"495";"495";"0";"0"
"08/30/2024 10.00 PM";"417";"417";"0";"0"
"08/30/2024 10.15 PM";"466";"466";"0";"0"
"08/30/2024 10.30 PM";"446";"446";"0";"0"
"08/30/2024 10.45 PM";"383";"383";"0";"0"
"08/30/2024 11.00 PM";"377";"377";"0";"0"
"08/30/2024 11.15 PM";"141";"141";"0";"0"
"08/30/2024 11.30 PM";"113";"113";"0";"0"
"08/30/2024 11.45 PM";"167";"167";"0";"0"
"08/31/2024 12.00 AM";"215";"215";"0";"0"
"08/31/2024 12.15 AM";"201";"201";"0";"0"
"08/31/2024 12.30 AM";"253";"253";"0";"0"
"08/31/2024 12.45 AM";"217";"217";"0";"0"
"08/31/2024 01.00 AM";"195";"195";"0";"0"
"08/31/2024 01.15 AM";"252";"252";"0";"0"
"08/31/2024 01.30 AM";"214";"214";"0";"0"
"08/31/2024 01.45 AM";"193";"193";"0";"0"
"08/31/2024 02.00 AM";"252";"252";"0";"0"
"08/31/2024 02.15 AM";"212";"212";"0";"0"
"08/31/2024 02.30 AM";"193";"193";"0";"0"
"08/31/2024 02.45 AM";"253";"253";"0";"0"
"08/31/2024 03.00 AM";"210";"210";"0";"0"
"08/31/2024 03.15 AM";"192";"192";"0";"0"
"08/31/2024 03.30 AM";"224";"224";"0";"0"
"08/31/2024 03.45 AM";"198";"198";"0";"0"
"08/31/2024 04.00 AM";"129";"129";"0";"0"
"08/31/2024 04.15 AM";"113";"113";"0";"0"
"08/31/2024 04.30 AM";"177";"177";"0";"0"
