sep=;
"Version";"4";;;
"Language";"en-US";;;
"Local export date";"29.12.2024 10:13:45";;;
"Export UTC date";"2024-12-29T09:13:45.061Z";;;
"Time zone";"Europe/Berlin";;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;
"Time period";"Total consumption [kW]";"Base load [kW]";"Total generation [kW]";"PV generation [kW]"
"08/23/2024 12.15 AM";"0.19";"0.19";"0.00";"0.00"
"08/23/2024 12.30 AM";"0.18";"0.18";"0.00";"0.00"
"08/23/2024 12.45 AM";"0.20";"0.20";"0.00";"0.00"
"08/23/2024 01.00 AM";"0.25";"0.25";"0.00";"0.00"
"08/23/2024 01.15 AM";"0.28";"0.28";"0.00";"0.00"
"08/23/2024 01.30 AM";"0.23";"0.23";"0.00";"0.00"
"08/23/2024 01.45 AM";"0.20";"0.20";"0.00";"0.00"
"08/23/2024 02.00 AM";"0.24";"0.24";"0.00";"0.00"
"08/23/2024 02.15 AM";"0.27";"0.27";"0.00";"0.00"
"08/23/2024 02.30 AM";"0.15";"0.15";"0.00";"0.00"
"08/23/2024 02.45 AM";"0.11";"0.11";"0.00";"0.00"
"08/23/2024 03.00 AM";"0.16";"0.16";"0.00";"0.00"
"08/23/2024 03.15 AM";"0.19";"0.19";"0.00";"0.00"
"08/23/2024 03.30 AM";"0.14";"0.14";"0.00";"0.00"
"08/23/2024 03.45 AM";"0.11";"0.11";"0.00";"0.00"
"08/23/2024 04.00 AM";"0.20";"0.20";"0.00";"0.00"
"08/23/2024 04.15 AM";"0.29";"0.29";"0.00";"0.00"
"08/23/2024 04.30 AM";"0.23";"0.23";"0.00";"0.00"
"08/23/2024 04.45 AM";"0.20";"0.20";"0.00";"0.00"
"08/23/2024 05.00 AM";"0.25";"0.25";"0.00";"0.00"
"08/23/2024 05.15 AM";"0.27";"0.27";"0.00";"0.00"
"08/23/2024 05.30 AM";"0.22";"0.22";"0.00";"0.00"
"08/23/2024 05.45 AM";"0.16";"0.16";"0.00";"0.00"
"08/23/2024 06.00 AM";"0.17";"0.17";"0.00";"0.00"
"08/23/2024 06.15 AM";"0.19";"0.19";"0.00";"0.00"
"08/23/2024 06.30 AM";"0.13";"0.13";"0.00";"0.00"
"08/23/2024 06.45 AM";"0.12";"0.12";"0.11";"0.11"
"08/23/2024 07.00 AM";"0.28";"0.28";"0.35";"0.35"
"08/23/2024 07.15 AM";"0.41";"0.41";"0.68";"0.68"
"08/23/2024 07.30 AM";"0.42";"0.42";"1.49";"1.49"
"08/23/2024 07.45 AM";"0.35";"0.35";"2.07";"2.07"
"08/23/2024 08.00 AM";"0.39";"0.39";"2.51";"2.51"
"08/23/2024 08.15 AM";"0.41";"0.41";"3.52";"3.52"
"08/23/2024 08.30 AM";"0.36";"0.36";"3.55";"3.55"
"08/23/2024 08.45 AM";"0.24";"0.24";"3.32";"3.32"
"08/23/2024 09.00 AM";"0.35";"0.35";"3.88";"3.88"
"08/23/2024 09.15 AM";"0.32";"0.32";"4.40";"4.40"
"08/23/2024 09.30 AM";"0.40";"0.40";"4.83";"4.83"
"08/23/2024 09.45 AM";"0.89";"0.89";"5.59";"5.59"
"08/23/2024 10.00 AM";"0.58";"0.58";"5.76";"5.76"
"08/23/2024 10.15 AM";"0.76";"0.76";"5.79";"5.79"
"08/23/2024 10.30 AM";"0.75";"0.75";"6.36";"6.36"
"08/23/2024 10.45 AM";"1.05";"1.05";"6.48";"6.48"
"08/23/2024 11.00 AM";"0.64";"0.64";"6.88";"6.88"
"08/23/2024 11.15 AM";"0.48";"0.48";"7.53";"7.53"
"08/23/2024 11.30 AM";"0.45";"0.45";"7.82";"7.82"
"08/23/2024 11.45 AM";"0.31";"0.31";"8.30";"8.30"
"08/23/2024 12.00 PM";"0.29";"0.29";"8.50";"8.50"
"08/23/2024 12.15 PM";"0.37";"0.37";"8.32";"8.32"
"08/23/2024 12.30 PM";"0.32";"0.32";"8.29";"8.29"
"08/23/2024 12.45 PM";"0.29";"0.29";"8.33";"8.33"
"08/23/2024 01.00 PM";"0.35";"0.35";"8.99";"8.99"
"08/23/2024 01.15 PM";"0.34";"0.34";"6.93";"6.93"
"08/23/2024 01.30 PM";"0.28";"0.28";"6.37";"6.37"
"08/23/2024 01.45 PM";"2.00";"2.00";"6.98";"6.98"
"08/23/2024 02.00 PM";"3.23";"3.23";"8.40";"8.40"
"08/23/2024 02.15 PM";"3.24";"3.24";"8.87";"8.87"
"08/23/2024 02.30 PM";"3.30";"3.30";"8.77";"8.77"
"08/23/2024 02.45 PM";"3.23";"3.23";"8.18";"8.18"
"08/23/2024 03.00 PM";"3.24";"3.24";"7.05";"7.05"
"08/23/2024 03.15 PM";"3.32";"3.32";"7.46";"7.46"
"08/23/2024 03.30 PM";"3.25";"3.25";"7.44";"7.44"
"08/23/2024 03.45 PM";"3.25";"3.25";"8.26";"8.26"
"08/23/2024 04.00 PM";"3.43";"3.43";"7.39";"7.39"
"08/23/2024 04.15 PM";"3.42";"3.42";"7.66";"7.66"
"08/23/2024 04.30 PM";"3.39";"3.39";"7.25";"7.25"
"08/23/2024 04.45 PM";"3.46";"3.46";"7.07";"7.07"
"08/23/2024 05.00 PM";"3.42";"3.42";"6.70";"6.70"
"08/23/2024 05.15 PM";"3.46";"3.46";"6.56";"6.56"
"08/23/2024 05.30 PM";"3.54";"3.54";"6.12";"6.12"
"08/23/2024 05.45 PM";"3.47";"3.47";"5.99";"5.99"
"08/23/2024 06.00 PM";"3.56";"3.56";"5.35";"5.35"
"08/23/2024 06.15 PM";"3.53";"3.53";"4.91";"4.91"
"08/23/2024 06.30 PM";"3.44";"3.44";"4.65";"4.65"
"08/23/2024 06.45 PM";"3.43";"3.43";"4.15";"4.15"
"08/23/2024 07.00 PM";"2.23";"2.23";"3.79";"3.79"
"08/23/2024 07.15 PM";"0.29";"0.29";"3.12";"3.12"
"08/23/2024 07.30 PM";"0.32";"0.32";"1.79";"1.79"
"08/23/2024 07.45 PM";"0.59";"0.59";"0.42";"0.42"
"08/23/2024 08.00 PM";"0.32";"0.32";"0.21";"0.21"
"08/23/2024 08.15 PM";"0.40";"0.40";"0.06";"0.06"
"08/23/2024 08.30 PM";"0.45";"0.45";"0.00";"0.00"
"08/23/2024 08.45 PM";"0.38";"0.38";"0.00";"0.00"
"08/23/2024 09.00 PM";"0.58";"0.58";"0.00";"0.00"
"08/23/2024 09.15 PM";"0.50";"0.50";"0.00";"0.00"
"08/23/2024 09.30 PM";"0.42";"0.42";"0.00";"0.00"
"08/23/2024 09.45 PM";"0.27";"0.27";"0.00";"0.00"
"08/23/2024 10.00 PM";"0.13";"0.13";"0.00";"0.00"
"08/23/2024 10.15 PM";"0.20";"0.20";"0.00";"0.00"
"08/23/2024 10.30 PM";"0.20";"0.20";"0.00";"0.00"
"08/23/2024 10.45 PM";"0.18";"0.18";"0.00";"0.00"
"08/23/2024 11.00 PM";"0.22";"0.22";"0.00";"0.00"
"08/23/2024 11.15 PM";"0.29";"0.29";"0.00";"0.00"
"08/23/2024 11.30 PM";"0.28";"0.28";"0.00";"0.00"
"08/23/2024 11.45 PM";"0.20";"0.20";"0.00";"0.00"
"08/24/2024 12.00 AM";"0.22";"0.22";"0.00";"0.00"
"08/24/2024 12.15 AM";"0.28";"0.28";"0.00";"0.00"
